,Company_word,Count
17,johnson,551
18,controls,542
76,india,307
42,services,281
16,solutions,252
14,and,234
155,emerson,179
65,tata,176
26,group,158
411,consultancy,157
49,mindteck,157
126,global,113
35,automation,107
2091,phdata,102
21,honeywell,102
10,siemens,96
84,systems,84
20,international,79
6,bank,77
534,of,75
62,electric,70
31,software,68
552,engineering,66
114,walmart,66
250,tech,65
47,company,60
61,schneider,60
88,energy,56
465,consulting,55
156,capgemini,55
28,healthcare,54
86,philips,52
833,cognizant,52
80,the,47
318,industries,46
428,selfemployed,45
261,infotech,40
511,accenture,40
27,ge,39
289,digital,39
695,infosys,38
15,business,37
304,wipro,34
354,process,32
875,management,32
249,amazon,31
163,yokogawa,30
821,companies,28
358,hcltech,28
361,medtronic,28
44,waters,27
269,llp,26
154,pte,25
162,harman,25
180,endresshauser,23
183,institute,23
393,ul,23
604,research,22
381,america,22
50,eaton,22
591,philomath,22
202,deloitte,22
346,consultants,21
105,bosch,21
199,freelance,21
24,scientific,21
306,persistent,21
66,machines,21
440,mahindra,21
112,medical,20
382,pwc,20
11,healthineers,20
106,home,19
852,centre,19
2101,info,19
171,center,19
275,data,19
293,abb,19
256,semiconductor,19
951,university,19
19,stryker,18
93,microsoft,18
3,health,18
30,rocket,18
146,ey,18
2121,albertsons,18
634,a,18
313,comfort,17
34,rockwell,17
617,blue,17
543,self,17
41,financial,17
130,security,17
97,reliance,17
308,asia,17
2100,krios,17
774,analytics,17
350,development,16
565,instrumentation,16
544,employed,16
129,fire,16
271,an,16
278,i,16
102,cloud,15
339,indian,15
9,insurance,15
1554,pune,15
181,citi,15
321,infrastructure,15
5,hdfc,14
305,solution,14
138,dassault,14
1869,commonwealth,14
988,oracle,14
186,ltimindtree,13
263,engineers,13
1490,deutsche,13
373,carrier,13
416,ai,13
536,seagate,13
1496,australia,13
165,east,13
408,electronics,13
380,north,13
483,education,13
608,air,13
212,minds,12
2178,snowflake,12
890,in,12
763,globallogic,12
247,vertiv,12
602,design,12
762,pty,12
160,wells,12
564,supertech,12
456,it,12
371,adani,12
207,calsoft,12
312,united,12
161,fargo,12
164,middle,11
779,aws,11
778,web,11
8,life,11
835,ddn,11
46,care,11
1523,nice,11
296,industrial,11
578,paints,11
170,innovation,11
213,varian,11
753,nagarro,11
141,control,11
316,storage,11
655,gmbh,11
309,pacific,11
200,nomura,11
2218,mastercard,11
23,fisher,11
468,network,11
796,ltm,11
337,building,10
204,communications,10
1391,motion,10
210,ametek,10
1240,cbre,10
379,qcells,10
448,labs,10
1060,oil,10
795,my,10
70,brokers,10
71,ust,10
22,thermo,10
83,spanidea,10
79,capital,10
773,tiger,10
303,jll,10
172,boston,10
122,applied,10
149,google,10
924,sciences,9
921,college,9
568,dell,9
2171,visa,9
897,singapore,9
231,national,9
139,systemes,9
2140,supervalu,9
128,chubb,9
838,apple,9
997,advisory,9
347,salesforce,9
784,for,9
377,holdings,9
255,samsung,9
1463,mitsubishi,9
257,us,9
262,new,9
941,retail,9
211,happiest,9
268,associates,9
1531,kpit,9
185,heartstream,9
157,john,9
174,industry,9
300,as,9
919,mercedesbenz,8
414,talent,8
407,renesas,8
476,festo,8
166,africa,8
2085,degreed,8
357,information,8
2081,unitedhealth,8
372,realty,8
959,power,8
1178,mutual,8
1177,northwestern,8
1221,retired,8
2274,barclays,8
191,equipment,8
1182,professional,8
743,kpmg,8
217,hr,8
294,quest,8
1340,state,8
12,baxter,7
39,petroleum,7
569,nvidia,7
598,schaeffler,7
1459,shell,7
603,automotive,7
1378,lighting,7
13,innovations,7
1482,wns,7
498,technip,7
499,energies,7
348,china,7
1066,s,7
781,infosystems,7
150,cohesity,7
133,confidential,7
362,roots,7
1855,mes,7
1796,micro,7
449,enterprise,7
471,ventures,7
980,sdn,7
981,bhd,7
1006,aveva,7
40,landt,7
1834,shield,7
349,construction,7
319,ntt,7
107,appliances,7
509,black,7
302,nexperia,7
328,trane,7
735,larsen,7
729,hitachi,7
736,toubro,7
326,ascendion,7
209,chiller,7
208,smardt,7
291,mumbai,7
680,fractal,7
954,electrical,6
923,consumer,6
2463,sourced,6
940,parking,6
59,bajaj,6
118,beyond,6
123,materials,6
90,green,6
1038,mechanical,6
939,get,6
441,soroco,6
477,yes,6
1757,jacobs,6
384,abbott,6
193,l,6
205,netapp,6
2264,cross,6
158,deere,6
714,computer,6
2111,zcon,6
353,generis,6
501,projects,6
627,finance,6
573,sap,6
1453,jcb,6
621,lattice,6
38,hindustan,6
37,emergys,6
2201,iconnect,6
276,centres,6
1438,union,6
1233,haptik,6
1067,connected,6
387,lenovo,6
2363,sony,6
147,alten,6
484,training,6
125,allegis,6
1141,adient,6
1623,workplace,6
1252,market,6
215,exchange,6
558,human,6
1547,technical,6
1193,gas,6
1501,innotech,6
1904,australian,6
2541,bharat,6
618,star,5
878,qualitykiosk,5
901,avalara,5
889,h,5
53,minor,5
904,smart,5
1399,pulp,5
576,kansai,5
659,p,5
656,confluent,5
1370,strategy,5
628,intellect,5
241,airtel,5
240,by,5
2225,genesys,5
577,nerolac,5
1248,enterprises,5
2204,digitate,5
589,arrow,5
220,arabia,5
219,saudi,5
2246,search,5
1680,enpower,5
1631,finite,5
764,europe,5
167,b,5
1189,products,5
1180,gsk,5
547,agency,5
320,centers,5
340,achievers,5
2097,vanderlande,5
750,enphase,5
731,cyient,5
281,panasonic,5
1532,scope,5
251,ncs,5
1537,system,5
684,insight,5
1301,conditioning,5
214,ion,5
723,cencora,5
717,export,5
2272,credit,5
1552,subsidiary,5
177,apar,5
1156,chemicals,5
754,synergy,5
2149,gnr,5
2141,foods,5
1671,synopsys,5
1659,omers,5
2050,california,5
2322,systa,5
1610,american,5
527,komprise,5
1082,infosolutions,5
374,hvac,5
1968,consultant,5
1074,rubiscape,5
1045,ministry,5
1124,steel,5
799,firm,5
121,aramco,5
1751,measurement,5
391,to,5
1078,tecnimont,5
399,infobeans,5
968,practice,5
392,work,5
1816,zealand,5
467,auto,5
2502,inventec,5
101,spectro,5
855,ukandi,5
1858,mission,5
1832,uk,5
420,hauser,5
419,endress,5
2,first,5
2126,synechron,4
2187,holidays,4
2169,pharmaceuticals,4
1966,independent,4
1964,service,4
640,city,4
535,skills,4
286,worldwide,4
1724,appzen,4
2483,vive,4
2481,bt,4
2473,randd,4
2472,simmons,4
85,ict,4
530,iksula,4
1473,allianz,4
1470,asian,4
488,principal,4
1505,contracting,4
631,red,4
2258,coupang,4
325,food,4
879,shi,4
1953,transport,4
283,randstad,4
1450,hub,4
583,narwal,4
582,ncc,4
1691,motor,4
1690,ford,4
2247,atman,4
282,citiustech,4
2159,insure,4
2158,vertical,4
1838,airlines,4
439,allana,4
248,sutherland,4
432,st,4
1430,marshall,4
2224,buy,4
1738,ksb,4
1737,western,4
425,flow,4
489,gieseckedevrient,4
1826,bombay,4
2223,best,4
505,chase,4
1429,forbes,4
2143,proventeq,4
307,shimadzu,4
265,quess,4
356,eagle,4
1404,sector,4
1553,bhilwara,4
376,airport,4
1551,replus,4
233,anarock,4
563,fpc,4
360,distribution,4
560,qatar,4
232,instruments,4
556,mybranch,4
385,avigna,4
525,zoho,4
643,proofpoint,4
510,copeland,4
298,elevator,4
590,electricals,4
504,jpmorgan,4
1612,logicladder,4
1385,corporate,4
1376,dunamis,4
1362,secure,4
662,mena,4
660,mypath,4
649,g,4
222,eastern,4
203,alliance,4
230,ni,4
226,world,4
1329,datacenters,4
1328,ctrls,4
1305,kec,4
675,cgi,4
668,daikin,4
667,apac,4
689,artech,4
2270,reuters,4
2269,thomson,4
1237,formerly,4
708,foundation,4
196,atos,4
192,trading,4
726,ubs,4
752,globant,4
1190,roche,4
1185,gartner,4
730,vantara,4
697,accion,4
182,uptime,4
179,ideaforge,4
2301,pnc,4
2312,bharati,4
1165,modular,4
1161,packard,4
1160,hewlett,4
1147,coaching,4
756,optimum,4
2330,fibre,4
2329,grasim,4
900,baird,4
798,boutique,4
1099,nielseniq,4
1097,wealth,4
746,symphonyai,4
131,sasken,4
89,capstone,4
1064,marine,4
805,creative,4
119,codes,4
116,mphasis,4
1062,next,4
1053,bandm,4
1035,republic,4
818,citizens,4
1026,community,4
2467,aemo,4
2466,operator,4
832,asml,4
2450,intellicus,4
2421,wesco,4
2414,circana,4
825,ibm,4
824,apptio,4
960,swan,4
841,sales,4
78,birla,4
77,aditya,4
2605,forge,4
52,owens,4
2564,isource,4
58,oswal,4
1866,glass,4
422,usa,4
4,cluster,4
2572,stanley,4
2571,morgan,4
494,aker,3
466,diwan,3
2000,micron,3
2031,marquardt,3
2024,ashe,3
2014,haier,3
359,bd,3
355,managment,3
352,estates,3
315,pure,3
1648,cloudera,3
1647,americas,3
1644,five,3
1624,gws,3
516,cybertech,3
515,sats,3
513,commvault,3
2115,crane,3
2092,designimpact,3
1609,boomi,3
1605,smith,3
1599,novartis,3
1593,avlino,3
533,zeiss,3
529,watson,3
528,wenger,3
2043,idex,3
2042,hach,3
327,qio,3
1589,investment,3
1588,mas,3
1587,sinar,3
1586,app,3
1580,trust,3
1577,techart,3
1572,delta,3
1568,bureau,3
550,techemerge,3
546,cornerstone,3
541,pinnacle,3
314,genpact,3
1555,quantum,3
1546,nexteer,3
559,resources,3
299,iss,3
2129,cancer,3
292,aptia,3
1534,equinix,3
1527,desmet,3
1503,al,3
1500,visukhi,3
1499,vernova,3
1558,tbsi,3
2230,caterpillar,3
277,digi,3
244,iq,3
574,digixpert,3
1493,jbm,3
599,regal,3
1477,car,3
1476,all,3
1538,environmental,3
2215,intelliglobe,3
2212,vagrms,3
2197,qualis,3
243,elevate,3
239,nxtra,3
237,computers,3
234,acuity,3
252,socomec,3
225,ecolab,3
1472,emirates,3
1464,bigit,3
1455,uflex,3
611,incture,3
605,association,3
601,procreator,3
646,curefit,3
632,chillies,3
600,rexnord,3
1444,jpmorganchase,3
1432,society,3
1426,total,3
1424,arvillium,3
626,protoconvert,3
625,laiye,3
622,gstamp,3
2243,imrb,3
2242,rfid,3
2241,itek,3
2238,target,3
2234,unilever,3
2233,saama,3
616,itc,3
1412,affairs,3
1410,nrusimha,3
1402,architecture,3
1388,bangalore,3
858,equipments,3
647,house,3
666,skidata,3
665,pritchard,3
1303,florida,3
1382,british,3
1377,hemma,3
1921,plc,3
2508,humana,3
1361,mnc,3
1359,worley,3
1353,alstom,3
2500,colgatepalmolive,3
903,neurealm,3
654,manta,3
2601,acmology,3
2587,outfitters,3
221,central,3
206,videonetics,3
898,film,3
2492,cvs,3
228,scribeemr,3
82,santeware,3
1348,job,3
1344,emsphere,3
935,flex,3
933,assessors,3
1315,swackit,3
1314,zscaler,3
932,loss,3
676,worldline,3
931,surveyors,3
930,protocol,3
929,ripplehire,3
707,key,3
706,kinetics,3
704,aci,3
1302,uvik,3
1289,ecozen,3
1286,natural,3
1284,incorporated,3
1278,on,3
1271,chapter,3
1262,canada,3
1260,ag,3
1257,w,3
692,sonata,3
691,microland,3
922,family,3
648,cult,3
184,leadsoc,3
2279,unfi,3
2277,thoughtworks,3
2275,tcs,3
2273,suisse,3
1952,department,3
402,grid,3
2265,michigan,3
1245,msys,3
1244,aziro,3
1242,sisoc,3
1238,pioneer,3
396,fresenius,3
1230,rev,3
711,emeritus,3
1928,technological,3
197,advent,3
1925,developers,3
195,hardwin,3
370,foundries,3
696,akkodis,3
1215,excellence,3
1211,intech,3
1208,managed,3
1195,player,3
1194,epc,3
1192,leading,3
1859,critical,3
722,tvs,3
719,council,3
716,plastics,3
1253,events,3
1857,cai,3
713,aionos,3
1850,okta,3
1845,wtw,3
734,lti,3
436,apptware,3
427,legrand,3
1741,two,3
1828,trendsetter,3
169,alleyoop,3
1825,swagelok,3
2300,mortgage,3
2299,ice,3
2296,tsystems,3
2295,railroad,3
2291,kyndryl,3
2317,hospital,3
2316,speciality,3
2315,abhinav,3
2314,ushahkal,3
2313,shipyard,3
1787,engg,3
1167,safety,3
1781,flame,3
1780,uib,3
1776,fertilizers,3
1159,rotex,3
1158,coleman,3
1157,bennett,3
1154,solar,3
1775,rashtriya,3
451,page,3
2337,rewardz,3
2336,loylty,3
450,michael,3
409,syngene,3
745,seasons,3
744,four,3
1143,lanxess,3
368,biosciences,3
1137,peoplenest,3
1135,masibus,3
768,schwarz,3
767,rohde,3
761,servosys,3
1170,elxsi,3
2321,rockefeller,3
2319,arctera,3
366,general,3
797,nokia,3
1112,enhancer,3
1111,cv,3
1104,sify,3
364,brand,3
1098,tyco,3
390,place,3
1088,learning,3
1081,doyen,3
790,teamfocus,3
785,manufacturing,3
780,nous,3
389,great,3
2342,prometteur,3
2338,mngt,3
2400,trainings,3
2378,u,3
2360,volkswagen,3
2352,igt,3
2346,ia,3
2344,recycling,3
134,government,3
386,fis,3
383,lucid,3
776,qualcomm,3
1073,tessolve,3
1753,ligman,3
806,aaryav,3
1747,bdx,3
803,coforge,3
802,chain,3
2408,minnesota,3
1746,clarivate,3
117,shivrai,3
1745,campers,3
111,vyaire,3
1744,necessities,3
1743,bare,3
1050,various,3
1049,hytech,3
1742,hard,3
1987,ovation,3
1027,d,3
1974,om,3
1022,sva,3
1020,drs,3
1019,leonardo,3
1963,offshore,3
2084,scopesys,3
2462,infocepts,3
1138,anblicks,3
975,end,3
974,front,3
971,vayuvoy,3
834,elekta,3
460,minivel,3
831,zimperium,3
1720,omniconn,3
2449,automationedge,3
2435,intuit,3
1719,techstream,3
1718,bict,3
2413,progressive,3
857,truestar,3
828,south,3
1715,jci,3
1707,talentahead,3
962,nixdorf,3
961,diebold,3
478,germany,3
952,science,3
854,goldback,3
848,london,3
474,guardian,3
949,king,3
1007,agiliad,3
369,aneya,3
508,newedge,3
74,splunk,3
2593,song,3
507,syndrome,3
32,baker,3
1700,mchugh,3
906,haxcamp,3
1699,eversana,3
2561,gap,3
2556,wiley,3
2549,infosystem,3
2532,sce,3
2531,edison,3
2530,southern,3
33,hughes,3
1688,exl,3
2511,rakuten,3
894,talents,3
885,datacom,3
1920,rs,3
1914,club,3
1897,xp,3
1896,zentelai,3
1881,figma,3
1687,hd,3
1679,networks,3
418,weatherford,3
1,riyadh,3
503,tides,3
502,dune,3
496,softcell,3
2570,mercurius,3
36,linedata,3
100,bahrain,3
25,cassioli,2
2599,valency,2
51,amchambrasil,2
877,qorvo,2
874,apollo,2
872,generac,2
2597,ampcus,2
2560,mckinsey,2
2559,nascent,2
2557,dauch,2
