,Company,Count
0,SelfEmployed,1
1,Capgemini,14
2,Head Training Professor at Institute of Advance Computing SAGE University Indore,1
3,IT Consltancy,1
4,Technoidentity,1
5,Tata Consultancy Services,83
6,Walmart,9
7,Adani Group,1
8,UnitedHealth Group,4
9,Confidential,2
10,Mphasis,1
11,Accenture,9
12,Model Developers And Builders,1
13,Cognizant,19
14,Freelance,6
15,ScopeSys Innovation Pvt Ltd,1
16,Degreed,2
17,Tata Consulting Engineers,1
18,Citi,2
19,Delicious Dabbas Food Chain and co,1
20,Nimbus Aerospace,1
21,Walmart Global Tech,11
22,Cognizant Technology Solutions,2
23,Arrow ECS,1
24,phData Inc,16
25,ALSTOM TRANSPORT,1
26,IBM,7
27,Design2Impact Advisory,1
28,Datacom,1
29,Infosys,16
30,Apple,3
31,Tech Virtue Solutions,1
32,Ambiata subsidiary of IAG,1
33,Benchmark IT Solutions,1
34,Vanderlande,2
35,Universal Software Corporation,1
36,Wipro,6
37,Epsilon,1
38,Shutterfly Inc,1
39,KPIT,3
40,Krios Info Solutions PvtLtd,10
41,KBR Inc,1
42,pManifold,1
43,Zscaler,1
44,Confluent,2
45,Selfemployed,8
46,Proofpoint,1
47,Nebory,1
48,Retelzy,2
49,Kolam Projects,1
50,Intellify Solutions,1
51,Aligned Incentives,1
52,EY,3
53,Gusto,1
54,Abbott,2
55,Self employed,1
56,Eastern Enterprise,1
57,zCon Solutions,1
58,Confederation of Indian Industry,1
59,Oliver James,1
60,Crane India,1
61,Thryv,1
62,phData,38
63,Mott MacDonald India india Pvt Ltd,1
64,GE,1
65,Adaptive,1
66,Pertemps Managed Solutions,1
67,Albertsons Companies,8
68,GlobalStep,1
69,Cosmos eSolutions and Services Pvt Ltd,1
70,COEP Technological University,1
71,GlobalLogic,1
72,PwC India,1
73,Synechron,3
74,Citizens,1
75,Bitwise India,2
76,Canadian Cancer Society,1
77,Renewable Energy and Infrastructure Projects,1
78,Field Flow Sales,1
79,Crane ChemPharma and Energy,1
80,Emitec Technologies GmbH,1
81,Infosys BPM,1
82,Varroc,1
83,Govt of India,1
84,Datascan Information Systems,1
85,Coaction Global,1
86,Amazon Lab126,1
87,SuperValu,1
88,United Natural Foods,1
89,Nexapp Technologies Private Limited,1
90,Proventeq,1
91,Reliance Industries Limited,2
92,Nokia,1
93,Databricks,1
94,The Ahnung Way,1
95,JEVVRS Business Consulting,1
96,GSK,1
97,LTIMindtree,3
98,TCS,9
99,Proventeq MEA,1
100,GNR Solution Pvt Ltd,1
101,HAWK Gozoop Group,1
102,Welspun India Limited Mumbai,1
103,NiCE,2
104,Radhakrishna Foodland Pvt Ltd,1
105,Lloyds Technology Centre India,1
106,FICO,1
107,High Five Business Solutions,1
108,Hindustan Petroleum Corporation Limited,1
109,Vertical Insure Inc,2
110,Scottfree Analytics LLC,1
111,Quellant,1
112,Shriram Sales Corporation,1
113,Domo,1
114,Zions Bancorporation,1
115,Event Industry Awards,1
116,Centaur Pharmaceuticals Pvt Ltd,1
117,Expleo Group,1
118,Visa,4
119,KONE,1
120,Roche,1
121,Yogesh Dandawate,1
122,FABS International,1
123,Cyient Europe,1
124,Krios Infosolutions PvtLtd,1
125,Bajaj Technology Services,1
126,wwwstlsoftin,1
127,Design Fundaz,1
128,Snowflake,4
129,Supervalu Inc,1
130,KBP College of Engg and Poly Satara,1
131,Nextdata,1
132,Insight Global,1
133,Clario,1
134,Tata Motors,1
135,ViridiumAI,1
136,Altair Holidays Pvt Ltd,1
137,Capgemini Invent,1
138,INFINITY LABS IT SERVICES LTD,1
139,DataHub,1
140,ToneTag,1
141,The Shri Ram Universal School Pune,1
142,Wellcome Sanger Institute,1
143,Ascava Inc,1
144,Qualis Engineers,1
145,UPTIQ,1
146,Parker Lord,1
147,iConnect Info Solutions,1
148,ICONNECT INFO SOLUTIONS PRIVATE LIMITED,1
149,ISMT limited,1
150,Bentley Systems,1
151,Digitate,2
152,Rises Analytics Solutions,1
153,HSBC,2
154,Ministry of Justice UK,1
155,NCS Group,1
156,SYNERGY MARINE and OFFSHORE SAFETY SOLUTIONS LIMITED,1
157,Philomath Infotech Pvt Ltd,11
158,ZS,1
159,TalentPundits,1
160,SIEMENS TECHNOLOGY AND SERVICES PRIVATE LIMITED,1
161,Dunamis Systems Engineering Pvt Ltd,1
162,Equifax,1
163,Clinisupplies,1
164,Mindteck,3
165,Western Alliance Bank,1
166,Vagrms Design,1
167,Pune International Centre,2
168,John Deere,2
169,Fractal,4
170,Salesforce,3
171,Emergys,2
172,AvalonBay Communities,1
173,Intelliglobe,1
174,HCLTech,5
175,Curai,1
176,Bits In Glass,1
177,Mastercard,5
178,Drisha Labs,1
179,Microsoft,5
180,Doshi Group of Companies,1
181,Volen Software Services Pvt Ltd,1
182,CGI,1
183,Deloitte,1
184,Wells Fargo,2
185,Oracle,1
186,GitLab,1
187,Best Buy,2
188,Genesys,3
189,phData hiring,1
190,nVent,1
191,PwC,3
192,JPMorgan Chase and Co,1
193,Deutsche Bank,4
194,Progress Rail A Caterpillar Company,1
195,Parth Properties,1
196,SAAMA Technologies Unilever,1
197,The Dotcom Team,1
198,UIIN,1
199,Target,2
200,The Digital Core,1
201,Bristlecone,1
202,iTEK RFID,1
203,Persistent Systems,3
204,IMRB International,2
205,Siemens Digital Industries Software,4
206,Perfect People Search,1
207,INTECH,1
208,Atman Consultants,3
209,Faiveley Transport,1
210,Sanjay Ghodawat Institute,1
211,Eaton Mission System Division,1
212,Tech Prescient,1
213,Service King Collision,1
214,Bayer Built Woodworks,1
215,Synopsys India,1
216,CITEC Engineering India Pvt Ltd,1
217,Coupang,1
218,Rasayu Cancer Clinic India,1
219,Interac Corp,1
220,AXS,1
221,Contour,1
222,Blue Cross Blue Shield of Michigan,1
223,Cooper and Associates LLC,1
224,Fitness On Demand,1
225,Thomson Reuters,2
226,Hewlett Packard Enterprise,1
227,PrivatelyHeld LLC,1
228,UBS Credit Suisse Barclays TCS KPCA,1
229,Amazon Web Services AWS,2
230,Thoughtworks,1
231,Andesite,1
232,UNFI,2
233,ThoughtSpot,1
234,KALPATARU PROJECTS INTERNATIONAL LIMITED,1
235,Experian Consumer Services,1
236,Sawkar Homoeopathic Medical College Satara Maharashtra India,1
237,Oportun,1
238,CDW,1
239,Hexaware Technologies,1
240,Embedsys Consultancy Services,1
241,Vosyn,1
242,Kyndryl India,1
243,Sandvik Coromant,1
244,ChotuAI,1
245,GSK Pharmaceuticals India,1
246,Bajaj Auto Ltd,2
247,Barclays UK,1
248,Barclays,2
249,Independent Consultant,2
250,Union Pacific Railroad,1
251,TSystems ICT India Pvt Ltd,2
252,Agivant Technologies,1
253,Imperial College London,1
254,ICE Mortgage Technology,1
255,PNC,1
256,GeakMinds Inc,1
257,Shell,4
258,Worley,1
259,Ameya Software,1
260,NVIDIA,4
261,Tata Consultancy Services TCS,1
262,The University of British Columbia,1
263,Manashama Mind Discipline for Professionals,1
264,Tata Communications,1
265,GlobalLogic India,1
266,Coding With Kids,1
267,Affirma,1
268,Bharati Shipyard Ltd,1
269,Ushahkal Abhinav speciality Hospital,1
270,Jacobs,1
271,JCB India Ltd,1
272,CoreWeave,1
273,Arcteraio,1
