,Role,Count
0,Independent,5
1,OD,1
2,HR,8
3,Consultant,74
4,Group,8
5,Facilitator,4
6,Flow,1
7,Game,1
8,Host,2
9,Lead,64
10,Data,148
11,Scientist,17
12,Professor,8
13,IT,14
14,Recruiter,4
15,Recruitment,5
16,Manager,179
17,IOT,3
18,DE,1
19,Head,60
20,TCS,3
21,LATAM,1
22,Senior,157
23,Director,93
24,of,55
25,Product,29
26,Management,22
27,Vice,44
28,President,53
29,Sr,20
30,Solutions,43
31,Portfolio,2
32,Program,19
33,Business,42
34,Transformation,9
35,at,11
36,Mundra,1
37,Port,1
38,SEZ,1
39,VP,12
40,Sales,21
41,Associate,21
42,Partner,21
43,Global,19
44,Solution,20
45,Architect,65
46,BI,8
47,ETL,2
48,Co-Founder,15
49,Sr.,22
50,Engineering,69
51,Chief,21
52,Digital,23
53,Officer,19
54,Assistant,17
55,Technology,23
56,AVP,6
57,Industrial,1
58,Operations,10
59,Manufacturing,8
60,CMO,1
61,AI,31
62,Principal,49
63,Software,61
64,Engineer,130
65,Leader,22
66,Smart,3
67,Consulting,11
68,Technical,35
69,Process,3
70,Tools,1
71,Tech,3
72,SAP,5
73,Founder,25
74,Advisor,8
75,Practice,6
76,Enterprise,12
77,CEO,17
78,Talent,22
79,Learning,12
80,Leadership,2
81,CoEs,2
82,DEI,1
83,Developer,12
84,Mentor,4
85,iON,1
86,GameLab,1
87,Distinguished,1
88,BigData,1
89,Hadoop,2
90,Administrator,2
91,DevSecOps,2
92,ML,8
93,Ops,1
94,Professional,6
95,TLIS,1
96,Chairman,1
97,Managing,9
98,Researcher,4
99,Staff,15
100,Executive,12
101,Coach,4
102,Engager.,1
103,Security,3
104,CTO,8
105,Developmental,1
106,worker,1
107,Sustainability,4
108,Integrator,1
109,Large,2
110,Deals,1
111,Commercial,2
112,Project,38
113,CW,1
114,self,1
115,employed,1
116,Cognizant,1
117,Industry+,1
118,IoT,3
119,Delivery,28
120,Office,3
121,Council,1
122,Member,5
123,Zonal,1
124,Planner,1
125,Buyer,1
126,Analyst,26
127,Projects,1
128,R&D,8
129,Controls,2
130,Optimization,1
131,Electrical,2
132,Technologies,1
133,Employee,2
134,Experience,3
135,People,5
136,Strategy,7
137,Industry,3
138,DevOps,5
139,Acquisition,15
140,North,3
141,America,2
142,Specialist,15
143,leader,1
144,Relationship,4
145,CoE,1
146,Dynamics,3
147,365,3
148,Customer,5
149,Engagement,9
150,Salesforce,2
151,Quality,8
152,-Emitec,1
153,India,9
154,Lead-Client,1
155,Services,11
156,Intelligence,10
157,office,1
158,assistant,1
159,Intelligent,1
160,Managed,4
161,Sottware,1
162,Analysis,1
163,Applied,3
164,Thermal,1
165,Development,19
166,Resident,2
167,Way,1
168,Finder,1
169,Centre,1
170,Equipment,1
171,Retail,4
172,Consumer,3
173,Goods,2
174,Health,2
175,LifeScience,1
176,Unit,3
177,Special,2
178,Initiatives,3
179,Analytics,22
180,Insights,3
181,Embedded,4
182,software,2
183,harware,1
184,design,1
185,engineer,3
186,MD,2
187,General,11
188,Relation,1
189,Online,1
190,reputation,1
191,management,1
192,executive,1
193,AGM,1
194,Supply,7
195,Chain,6
196,APAC,3
197,Digitization,1
198,Human,10
199,Resources,11
200,data,1
201,COO,1
202,business,2
203,advisor,1
204,Artificial,3
205,Service,6
206,Marketing,5
207,Americas,2
208,Programs,2
209,Virtual,1
210,Architecture,3
211,Credit,2
212,Risk,5
213,Utilities,2
214,CFO,1
215,Krios,1
216,Info,1
217,Pvt.,2
218,Ltd.,3
219,Training,2
220,SR,1
221,Mechanical,3
222,Engg,1
223,Deptt,1
224,Cardiac,1
225,Respiratory,1
226,Medical,2
227,Devices,1
228,CapEx,1
229,Infrastructure,1
230,Resource,1
231,Planning,2
232,MICE,1
233,Partnerships,3
234,Alliances,3
235,Generalist,1
236,FOUNDER,1
237,QUALIS,1
238,ENGINEERS,1
239,Country,1
240,Director-,1
241,Parker,1
242,Hannifin,1
243,Account,4
244,Partners,1
245,Ecosystem,4
246,Digitate,1
247,Coating,1
248,Supervisor,1
249,Shipbuilding,1
250,Decision,1
251,Partnership,1
252,Deputy,4
253,Semiconductor,1
254,Regional,3
255,Founding,1
256,Designer,2
257,Products,2
258,SRE,1
259,Pune,2
260,Machine,7
261,Platform,9
262,SI,1
263,Owner,8
264,Member-Family,1
265,Philippines,1
266,Brand,1
267,Coordinator,3
268,Platforms,3
269,Procurement,2
270,Organisation,1
271,Change,1
272,OCM,1
273,Junior,3
274,HealthCare,1
275,UIIN,1
276,Ambassador,1
277,Visualization,3
278,Operational,2
279,Head-Talent,1
280,Cloud,8
281,First,1
282,ATCi,1
283,Analytic,1
284,manager,1
285,Body,2
286,Electronics,1
287,Fellow,1
288,in,6
289,the,1
290,Production,3
291,support,1
292,Progam,1
293,Agile,3
294,PMO,1
295,Doctor,1
296,Asset,2
297,IBM,3
298,Asia,2
299,Pacific,3
300,II,6
301,Enablement,2
302,Site,2
303,Reliability,2
304,Distributed,1
305,Systems,4
306,Science,7
307,Computational,1
308,Statistician,1
309,Various,1
310,roles,1
311,Banking,2
312,Finance,1
313,Pre-Sales,2
314,Deliveries,1
315,for,11
316,Research,5
317,e4râ„¢,1
318,Backend,2
319,Dy,1
320,ESG-Sustainability,1
321,Reader,1
322,Branch,2
323,IRC,1
324,Information,6
325,Design,2
326,Client,6
327,Compliance,3
328,Warehouse,3
329,ORAN,1
330,SMO,1
331,AI-RAN,1
332,Advanced,1
333,Programme,2
334,Certificate,1
335,Performance,1
336,Manager-,1
337,Inside,2
338,Team,6
339,Big,5
340,Franchise,1
