Role,Count
Independent,5
OD,1
HR,8
Consultant,74
Group,8
Facilitator,4
Flow,1
Game,1
Host,2
Lead,64
Data,148
Scientist,17
Professor,8
IT,14
Recruiter,4
Recruitment,5
Manager,179
IOT,3
DE,1
Head,60
TCS,3
LATAM,1
Senior,157
Director,93
of,55
Product,29
Management,22
Vice,44
President,53
Sr,20
Solutions,43
Portfolio,2
Program,19
Business,42
Transformation,9
at,11
Mundra,1
Port,1
SEZ,1
VP,12
Sales,21
Associate,21
Partner,21
Global,19
Solution,20
Architect,65
BI,8
ETL,2
Co-Founder,15
Sr.,22
Engineering,69
Chief,21
Digital,23
Officer,19
Assistant,17
Technology,23
AVP,6
Industrial,1
Operations,10
Manufacturing,8
CMO,1
AI,31
Principal,49
Software,61
Engineer,130
Leader,22
Smart,3
Consulting,11
Technical,35
Process,3
Tools,1
Tech,3
SAP,5
Founder,25
Advisor,8
Practice,6
Enterprise,12
CEO,17
Talent,22
Learning,12
Leadership,2
CoEs,2
DEI,1
Developer,12
Mentor,4
iON,1
GameLab,1
Distinguished,1
BigData,1
Hadoop,2
Administrator,2
DevSecOps,2
ML,8
Ops,1
Professional,6
TLIS,1
Chairman,1
Managing,9
Researcher,4
Staff,15
Executive,12
Coach,4
Engager.,1
Security,3
CTO,8
Developmental,1
worker,1
Sustainability,4
Integrator,1
Large,2
Deals,1
Commercial,2
Project,38
CW,1
self,1
employed,1
Cognizant,1
Industry+,1
IoT,3
Delivery,28
Office,3
Council,1
Member,5
Zonal,1
Planner,1
Buyer,1
Analyst,26
Projects,1
R&D,8
Controls,2
Optimization,1
Electrical,2
Technologies,1
Employee,2
Experience,3
People,5
Strategy,7
Industry,3
DevOps,5
Acquisition,15
North,3
America,2
Specialist,15
leader,1
Relationship,4
CoE,1
Dynamics,3
365,3
Customer,5
Engagement,9
Salesforce,2
Quality,8
#NAME?,1
India,9
Lead-Client,1
Services,11
Intelligence,10
office,1
assistant,1
Intelligent,1
Managed,4
Sottware,1
Analysis,1
Applied,3
Thermal,1
Development,19
Resident,2
Way,1
Finder,1
Centre,1
Equipment,1
Retail,4
Consumer,3
Goods,2
Health,2
LifeScience,1
Unit,3
Special,2
Initiatives,3
Analytics,22
Insights,3
Embedded,4
software,2
harware,1
design,1
engineer,3
MD,2
General,11
Relation,1
Online,1
reputation,1
management,1
executive,1
AGM,1
Supply,7
Chain,6
APAC,3
Digitization,1
Human,10
Resources,11
data,1
COO,1
business,2
advisor,1
Artificial,3
Service,6
Marketing,5
Americas,2
Programs,2
Virtual,1
Architecture,3
Credit,2
Risk,5
Utilities,2
CFO,1
Krios,1
Info,1
Pvt.,2
Ltd.,3
Training,2
SR,1
Mechanical,3
Engg,1
Deptt,1
Cardiac,1
Respiratory,1
Medical,2
Devices,1
CapEx,1
Infrastructure,1
Resource,1
Planning,2
MICE,1
Partnerships,3
Alliances,3
Generalist,1
FOUNDER,1
QUALIS,1
ENGINEERS,1
Country,1
Director-,1
Parker,1
Hannifin,1
Account,4
Partners,1
Ecosystem,4
Digitate,1
Coating,1
Supervisor,1
Shipbuilding,1
Decision,1
Partnership,1
Deputy,4
Semiconductor,1
Regional,3
Founding,1
Designer,2
Products,2
SRE,1
Pune,2
Machine,7
Platform,9
SI,1
Owner,8
Member-Family,1
Philippines,1
Brand,1
Coordinator,3
Platforms,3
Procurement,2
Organisation,1
Change,1
OCM,1
Junior,3
HealthCare,1
UIIN,1
Ambassador,1
Visualization,3
Operational,2
Head-Talent,1
Cloud,8
First,1
ATCi,1
Analytic,1
manager,1
Body,2
Electronics,1
Fellow,1
in,6
the,1
Production,3
support,1
Progam,1
Agile,3
PMO,1
Doctor,1
Asset,2
IBM,3
Asia,2
Pacific,3
II,6
Enablement,2
Site,2
Reliability,2
Distributed,1
Systems,4
Science,7
Computational,1
Statistician,1
Various,1
roles,1
Banking,2
Finance,1
Pre-Sales,2
Deliveries,1
for,11
Research,5
e4râ„¢,1
Backend,2
Dy,1
ESG-Sustainability,1
Reader,1
Branch,2
IRC,1
Information,6
Design,2
Client,6
Compliance,3
Warehouse,3
ORAN,1
SMO,1
AI-RAN,1
Advanced,1
Programme,2
Certificate,1
Performance,1
Manager-,1
Inside,2
Team,6
Big,5
Franchise,1
TAVI,1
Structural,1
Heart,1
Division,1
Europe,2
UK,2
Life,1
Sciences,1
Healthcare,3
UDaP,1
BFSI,2
Instructor,1
Accountant,1
Sr.Mgr.HR,1
Admin.,1
PRINCIPAL,1
DESIGN,1
ENGINEER-HVAC,1
Stand-Up,1
Comic,1
Improv,1
GRC,1
Connected,3
Laboratory,1
Safety,2
Environmental,1
Boeing,1
Consutant,1
OBGY,1
Hardware,1
Asst.manager,1
Philomath,1
Infotech,1
owner,1
CASc,1
Functional,2
Search,1
SD,1
Strategic,1
N.America,1
Wipro,1
Student,1
Counselor,1
GCP,1
Blockchain,1
Essential,1
Education,2
Avis,1
Budget,1
Analytica,1
Innovations,1
Automation,3
factory,1
incharge,1
Migration,1
Database,1
Manager-TAG,1
Centric,1
Advisory,1
Sr.Director,1
eCom,1
Demand,1
Forecast,1
Promise,1
Pick-up,1
Gas,1
Electric,2
Partner-II,1
Founder-Chief,1
Governing,1
Network,1
Banks,1
Media,1
Publishing,1
Scrum,3
Master,3
Public,1
Relations,2
Soft,1
Skill,1
Azure,1
Cost,1
ITQA,1
Utility,3
Web,2
Applications,2
IVR,1
IVA,1
SOCALGAS,1
Order,1
Fraud,1
Scam,1
Cyber,1
Application,4
Support,2
Intern,3
Stratgy,1
Governance,2
Plan-to-Produce,1
Expert,2
Visiting,1
Faculty,2
MOM,1
Retired,5
Commerce,1
APM,1
Integrity,1
Pricing,1
Center,1
Energy,1
Integration,6
RVP,1
Field,2
Maintenance,1
Asso.,1
Placement,1
Ui,1
Ux,1
designer,1
|BI,1
developer,1
Processing,1
Capital,1
Markets,1
Financial,2
Assurance,2
RE,1
SVP,2
Director.,1
Employer,1
Branding,1
Arch,1
System,3
Google,2
Assets,1
Affiliated,1
Department,2
Self,1
Employed,1
Alexa,1
Skills,1
Kit,1
Abacus,1
Market,1
Agentic,1
Sams,1
Club,1
Freelancer,1
Propriter,1
Political,1
Editor,1
CAE,1
Marks&Spencer,1
E&P-Development,1
solutions,1
architect,3
CSO,1
technology,1
Quantum,1
Computing,1
Incubation,2
Mining,1
Contractor,2
Study,1
Abroad,1
professional,1
TAG,1
MANAGING,1
DIRECTOR,1
Warehousing,1
Commissioning,1
Lecturer,1
lecturer,1
-1,1
ACM,1
Vespa,1
Engine,1
Vehicle,1
C&SI,1
Scraping,1
Central,1
Test,2
Innovation,1
AI.Cloud,1
Microsoft,2
AWS,1
Devops,1
Imagineer,1
Tester,1
Growth,1
Head-,1
Sector,1
User,1
WW,1
BD,1
Corporate,1
Clerk,1
Value,1
Discovery,1
â€“,2
EAM,1
Power,3
DeveloperMIS,1
TechnologyEDML,1
Success,1
CPG,1
Logistics,1
initiatives,1
DnA,1
Managerdata,1
Anti-Money,1
Laundering,1
AML,1
Inventec,1
Private,1
Region,2
TUG,1
Cognitive,1
Adoption,1
Emeritus,1
Engineeer,1
ASDA,1
ANZ,1
Key,1
Sourcer,1
Website,1
Trainee,1
Transportation,1
Mobility,1
Vertical,1
Entrepreneur,1
AUTOSAR,1
Trainings,1
Presales,1
QDSS,1
formerly,1
EXB,1
CS,1
Event,1
DataScience,1
Temporary,1
Intel,1
US,1
Acqusition,1
Singapore,1
Australia,1
Brunei,1
MY,1
GBS,2
NPD,1
Purchase,2
Asc.,1
DGM,1
Piping,1
CSR,1
Modeling,2
Control,1
Instrument,1
IIoT,2
Evangelist,1
Techno-functional,1
Biology,1
Educator,1
ICSE,1
IND,1
Admin,1
GRA,1
Infra,2
Spectrum,1
Mgmt.,1
calibration,1
Verification,1
Funtional,1
SCM,1
Manager-IT,1
Trust,1
Foundational,1
Iguazio,1
McKinsey,1
Company,1
Domain,1
CTIO,1
as,1
Code,1
ServiceNow,1
||,1
--,1
QA,2
Boltrics,1
3PL,1
better,1
Artist,1
Co-founder,1
Water,1
Wastewater,1
lead,1
QC,1
Academic,1
COIN,1
Siemens,1
Industries,1
DACH,1
Bigdata,1
Investor,1
Trader,1
Incharge,1
Mgr.,1
Chapter,1
Total,1
Rewards,1
Middle,1
East,1
Africa,1
BU-,1
with,1
22+,1
yrs,1
exp,1
Mgt,1
Telecom,1
domains,1
Packaged,1
Relationships,1
Head-Curriculum,1
CIO,1
CDO,1
Bharat,1
Forge,1
