category,size,Frequency
C1~1,1,147152
C2~1,1,57622
C3~10,1,1674
C4~83,1,259
C5~549,1,5
C6~2270,1,5
C7~5686,1,5
C5~550,1,118
C6~2273,1,39
C7~5693,1,15
C5~552,1,95
C6~2292,1,23
C7~5745,1,18
C5~551,1,41
C6~2287,1,20
C7~5732,1,17
C4~84,1,775
C5~559,1,667
C6~2318,1,248
C7~5815,1,26
C6~2272,1,21
C7~5690,1,5
C7~5689,1,16
C6~2293,1,63
C7~5748,1,36
C7~5814,1,50
C6~2285,1,8
C7~5726,1,6
C6~2281,1,12
C7~5716,1,6
C7~5692,1,24
C6~2282,1,13
C7~5719,1,8
C6~2274,1,8
C7~5695,1,7
C6~2277,1,4
C7~5704,1,4
C6~2284,1,11
C7~5724,1,9
C7~5696,1,1
C6~2280,1,6
C7~5713,1,6
C6~2278,1,2
C7~5707,1,2
C7~5727,1,2
C7~5723,1,2
C7~5720,1,5
C6~2286,1,2
C7~5729,1,2
C6~2276,1,2
C7~5701,1,2
C7~5749,1,27
C6~2275,1,6
C7~5698,1,6
C6~2289,1,1
C7~5736,1,1
C6~2290,1,4
C7~5739,1,3
C6~2291,1,4
C7~5742,1,2
C6~2279,1,5
C7~5710,1,4
C7~5816,1,33
C7~5733,1,3
C6~2313,1,93
C7~5781,1,36
C5~560,1,16
C6~2322,1,13
C7~5826,1,13
C4~85,1,640
C5~567,1,305
C6~2344,1,83
C7~5865,1,83
C7~5783,1,13
C6~2311,1,23
C7~5770,1,6
C6~2312,1,98
C7~5777,1,16
C7~5776,1,9
C7~5813,1,6
C7~5812,1,11
C7~5811,1,44
C7~5810,1,32
C7~5778,1,12
C6~2317,1,113
C7~5804,1,42
C7~5782,1,33
C7~5784,1,9
C6~2314,1,51
C7~5791,1,9
C6~2316,1,29
C7~5801,1,29
C7~5788,1,21
C7~5774,1,27
C7~5806,1,6
C7~5817,1,46
C7~5803,1,20
C5~558,1,92
C6~2309,1,92
C7~5765,1,92
C6~2348,1,79
C7~5869,1,79
C7~5768,1,13
C7~5775,1,34
C6~2315,1,12
C7~5795,1,6
C7~5789,1,18
C7~5769,1,4
C5~565,1,17
C6~2338,1,17
C7~5859,1,17
C5~566,1,309
C6~2340,1,90
C7~5861,1,90
C6~2345,1,65
C7~5866,1,65
C6~2342,1,16
C7~5863,1,16
C7~5805,1,29
C6~2347,1,73
C7~5868,1,73
C3~27,1,22815
C4~237,1,3952
C5~1336,1,159
C6~4366,1,27
C7~8910,1,27
C3~29,1,7783
C4~265,1,353
C5~1470,1,78
C6~4768,1,78
C7~9498,1,78
C7~5717,1,6
C2~4,1,18488
C3~1,1,18476
C4~4,1,2555
C5~11,1,472
C6~28,1,472
C7~44,1,472
C5~12,1,1014
C6~30,1,654
C7~47,1,417
C4~5,1,8357
C5~24,1,2706
C6~85,1,2706
C7~217,1,2706
C4~2,1,6978
C5~4,1,1767
