Item,Freq,Size
1~212,1149,1
2~212,1149,1
3~6,36361,1
4~212,1149,1
5~212,2,1
6~212,2,1
7~212,2,1
5~2699,183,1
6~5048,65,1
7~5048,8,1
6~6774,35,1
7~6774,8,1
5~2975,161,1
6~10487,14,1
7~10487,1,1
5~852,683,1
6~14622,3,1
7~16058,1,1
6~16059,1,1
7~16060,1,1
6~858,679,1
7~859,679,1
7~12976,6,1
6~15175,2,1
7~16061,1,1
7~14623,3,1
7~16062,1,1
6~3124,145,1
7~3124,5,1
7~15176,2,1
7~9703,19,1
7~6337,48,1
7~15177,2,1
6~4662,83,1
7~7797,32,1
7~6211,50,1
7~16063,1,1
5~3825,112,1
6~8262,28,1
7~8825,24,1
7~11495,11,1
7~4838,78,1
5~15178,2,1
6~15179,2,1
7~15180,2,1
7~15181,2,1
7~15182,2,1
6~4611,84,1
7~14624,3,1
7~15183,2,1
7~6160,51,1
7~14625,3,1
7~11707,10,1
7~13970,4,1
7~4743,81,1
5~12977,6,1
6~12978,6,1
7~16064,1,1
7~13557,5,1
1~1,298037,1
2~9,63140,1
3~318,2083,1
4~4692,82,1
5~4839,26,1
6~4839,26,1
7~4839,26,1
5~7279,37,1
6~9848,9,1
7~9848,9,1
6~8263,14,1
7~8263,14,1
6~12979,3,1
7~12979,3,1
6~9165,11,1
7~9165,11,1
5~9704,19,1
6~11708,5,1
7~11708,5,1
6~13971,2,1
7~13971,2,1
6~8826,12,1
7~8826,12,1
3~2481,201,1
4~10657,14,1
5~11131,4,1
6~11131,4,1
7~11131,4,1
5~11709,10,1
6~12980,6,1
7~16065,1,1
7~13558,5,1
6~13972,4,1
7~13973,4,1
1~3,147152,1
2~13,57622,1
3~99,8282,1
4~260,2320,1
5~260,125,1
6~260,125,1
7~260,125,1
5~451,1353,1
6~451,2,1
7~451,2,1
5~4744,81,1
6~12981,3,1
7~12981,3,1
5~5071,24,1
6~5071,24,1
7~5071,24,1
5~5736,58,1
6~3746,58,1
7~3746,58,1
6~3036,78,1
7~3036,78,1
5~5915,55,1
6~5627,30,1
7~5627,30,1
5~2401,70,1
6~2401,70,1
7~2401,70,1
6~6338,24,1
7~6338,24,1
6~2844,85,1
7~2844,85,1
6~15184,1,1
7~15184,1,1
5~1648,333,1
6~3156,74,1
7~3156,74,1
5~2295,221,1
6~4108,91,1
7~4108,9,1
6~9503,20,1
7~13974,4,1
6~9361,19,1
7~9361,2,1
6~860,677,1
7~860,2,1
6~3950,96,1
7~3950,11,1
6~3037,144,1
7~3037,12,1
6~1982,263,1
7~6292,49,1
7~10231,16,1
7~10232,16,1
7~16066,1,1
6~9504,20,1
7~10658,14,1
6~12702,7,1
7~12703,7,1
7~6212,50,1
7~2363,214,1
7~4216,97,1
7~10233,16,1
6~3660,111,1
7~3660,9,1
7~5345,66,1
6~1856,281,1
7~1856,1,1
7~10234,16,1
7~6947,41,1
7~12982,6,1
7~4693,82,1
6~11132,12,1
7~16067,1,1
6~13559,5,1
7~14626,3,1
7~1010,578,1
7~5218,69,1
7~9362,21,1
7~2148,239,1
7~11496,11,1
7~15185,2,1
7~4745,81,1
2~2,227375,1
3~31,27188,1
4~396,1501,1
5~396,24,1
6~396,24,1
7~396,24,1
5~1150,167,1
6~1150,167,1
7~1150,167,1
5~1071,182,1
6~1071,182,1
7~1071,182,1
5~215,1128,1
6~215,1128,1
7~215,1128,1
1~8,32654,1
2~8,32654,1
3~25,32326,1
4~9363,21,1
5~15186,2,1
6~13975,2,1
7~13975,2,1
5~13976,4,1
6~13977,2,1
7~13977,2,1
5~12983,6,1
6~11710,5,1
7~11710,5,1
5~12984,6,1
6~12316,4,1
7~12316,4,1
5~14627,3,1
6~12985,3,1
7~12985,3,1
6~13978,2,1
7~13978,2,1
6~15187,1,1
7~15187,1,1
6~13979,2,1
7~13979,2,1
1~81,11198,1
2~450,719,1
3~174,1938,1
4~450,641,1
5~6655,44,1
6~5845,28,1
7~5845,28,1
5~7007,40,1
6~11711,5,1
7~11711,5,1
6~7798,16,1
7~7798,16,1
6~5170,35,1
7~5170,35,1
5~1476,376,1
6~5600,61,1
7~13980,4,1
7~13981,4,1
5~2722,181,1
6~4060,102,1
7~9705,19,1
7~9364,21,1
7~9166,22,1
7~13982,4,1
7~13560,5,1
6~2944,163,1
7~13561,5,1
7~13983,4,1
7~5530,62,1
7~9706,19,1
7~16068,1,1
6~3097,152,1
7~16069,1,1
7~13562,5,1
7~16070,1,1
7~11712,10,1
7~3661,120,1
7~15188,2,1
7~12051,9,1
7~15189,2,1
7~16071,1,1
7~9167,22,1
7~4663,83,1
7~13984,4,1
7~7712,33,1
7~11497,11,1
7~13985,4,1
6~4824,79,1
7~5346,66,1
7~12986,6,1
7~12987,6,1
7~16072,1,1
3~2908,165,1
4~16073,1,1
5~16074,1,1
6~16075,1,1
7~16076,1,1
1~5,27326,1
2~5,23072,1
3~5,26959,1
4~1403,402,1
5~9365,7,1
6~9365,7,1
7~9365,7,1
5~4694,82,1
6~4612,42,1
7~4612,42,1
5~5049,73,1
6~12317,4,1
7~12317,4,1
6~8827,12,1
7~8827,12,1
5~6656,44,1
6~15190,1,1
7~15190,1,1
6~10235,8,1
7~10235,8,1
6~4695,41,1
7~4695,41,1
