word,id,cnt
C1~7,1,298037
C2~16,2,227375
C1~1,3,147152
C1~2,4,66856
C2~17,5,63140
C3~77,6,58310
C2~1,7,57622
C1~9,8,56823
C2~23,9,56823
C3~82,10,56685
.,11,56549
C3~69,12,56524
C1~10,13,40845
C2~24,14,40845
C3~85,15,36361
C3~68,16,36225
C2~10,17,35385
IN,18,33903
C1~13,19,32654
C2~27,20,32654
C3~81,21,32326
C2~2,22,29571
C4~997,23,28702
AGC,24,27379
C1~15,25,27326
WINE,26,27277
C3~73,27,27188
C3~84,28,26959
&,29,26458
OZ,30,26111
C3~80,31,25797
4,32,24598
DISPLAY,33,23936
99,34,23390
C3~91,35,23219
C2~30,36,23072
C3~27,37,22815
5,38,22732
C1~6,39,22242
C2~14,40,22242
2,41,21242
3,42,21008
C4~670,43,20574
C5~3638,44,20573
C6~11478,45,20573
C7~24264,46,20573
C3~72,47,20507
-,48,20230
C1~4,49,19256
C2~12,50,19256
C3~79,51,19054
C2~4,52,18488
C3~1,53,18476
C1~11,54,18460
C2~25,55,18460
6,56,17824
C3~95,57,17544
C3~90,58,17508
C4~788,59,16487
C2~7,60,16244
12,61,16089
C2~8,62,16013
C4~931,63,15736
C3~88,64,15537
C4~243,65,15509
C2~9,66,15458
C3~87,67,15141
C4~671,68,15069
8,69,14857
C3~78,70,14785
1,71,14774
CHOCOLATE,72,14662
C4~661,73,14490
C5~3628,74,14490
C6~11468,75,14490
C7~24254,76,14490
C3~53,77,14425
C4~790,78,14189
C4~672,79,13326
WHITE,80,13146
CHICKEN,81,13027
RED,82,12974
C4~660,83,12794
C5~5896,84,12638
C3~51,85,12474
W,86,12223
C3~50,87,11906
C4~1159,88,11678
C5~6706,89,11678
C6~20949,90,11678
C7~45108,91,11678
CHEESE,92,11571
CAKE,93,11424
THE,94,11273
C1~8,95,11198
CT,96,11111
AND,97,10995
C1~14,98,10961
C3~83,99,10863
C3~9,100,10850
BEEF,101,10465
WITH,102,10402
ORGANIC,103,10165
OF,104,10037
C4~1032,105,9788
C2~3,106,9627
10,107,9576
INCH,108,9568
SIGNATURE,109,9549
C5~5357,110,9383
BAG,111,9373
CREAM,112,9367
C2~5,113,9262
CANS,114,9227
BLACK,115,9159
C4~746,116,9122
7,117,9116
HOT,118,9006
C4~919,119,8889
LILLY,120,8756
C3~67,121,8749
DEBI,122,8707
C4~782,123,8511
C5~4335,124,8511
C6~13302,125,8511
C7~27852,126,8511
FZ,127,8402
C4~5,128,8357
MINI,129,8353
C3~19,130,8282
X,131,8249
PACK,132,8218
C2~28,133,8131
MIX,134,7966
C3~32,135,7961
C1~16,136,7838
C2~32,137,7838
C3~29,138,7783
BLUE,139,7711
C5~3641,140,7685
COUNT,141,7683
16,142,7552
PC,143,7525
PAPY,144,7353
9,145,7305
SELECT,146,7248
C3~46,147,7215
C4~63,148,7126
SAUCE,149,7101
PIE,150,6988
C4~2,151,6978
CPN,152,6917
COFFEE,153,6826
C5~4358,154,6744
C6~13354,155,6744
C7~27904,156,6744
GREEN,157,6738
C4~836,158,6721
BAR,159,6709
SET,160,6440
FRESH,161,6410
A,162,6388
C2~6,163,6338
C4~895,164,6314
COPIENT,165,6258
C4~654,166,6253
C5~3592,167,6253
C6~11282,168,6253
C7~23867,169,6253
C3~40,170,6246
C4~755,171,6194
C5~4199,172,6194
C6~12923,173,6194
C7~27035,174,6194
C2~18,175,6190
SWEET,176,6105
ROSE,177,6056
C2~19,178,6013
C4~711,179,5933
%,180,5886
C4~1161,181,5876
C5~4615,182,5831
C4~812,183,5825
ICE,184,5820
C3~35,185,5817
BOX,186,5649
DVD,187,5635
C5~5355,188,5613
BUTTER,189,5531
FROZEN,190,5512
MILK,191,5502
C4~1163,192,5500
TEA,193,5495
C4~149,194,5454
BOUQUET,195,5402
COOKIES,196,5382
STRAWBERRY,197,5295
C4~922,198,5279
PK,199,5274
WHOLE,200,5183
C3~2,201,5133
C5~4371,202,5126
C4~818,203,5111
SALAD,204,5104
C4~793,205,5102
LEMON,206,5100
SSEL,207,5014
C3~11,208,5010
SUGAR,209,4982
CHOC,210,4923
APPLE,211,4901
COOKIE,212,4897
ORIGINAL,213,4893
C5~4473,214,4888
C6~13755,215,4888
C7~28589,216,4888
20,217,4850
LARGE,218,4848
TURKEY,219,4844
C4~673,220,4833
CANDLE,221,4828
VANILLA,222,4826
GOLD,223,4798
C4~719,224,4780
C5~405,225,4718
C3~3,226,4717
C4~789,227,4710
FREE,228,4683
BREAD,229,4650
C5~4160,230,4631
TO,231,4625
FRUIT,232,4602
C4~1043,233,4587
PORK,234,4544
PUMPKIN,235,4497
C5~5288,236,4487
ORANGE,237,4429
24,238,4422
OUNCE,239,4416
HONEY,240,4404
S,241,4393
C3~8,242,4378
C4~467,243,4363
C3~71,244,4357
OIL,245,4353
C4~308,246,4324
C5~3640,247,4315
C5~5910,248,4312
HOLIDAY,249,4258
C3~5,250,4258
C2~31,251,4254
C4~963,252,4254
MIXED,253,4198
PINK,254,4189
KIT,255,4138
C4~666,256,4113
