,word,freq
0,CRACKERS,25
1,GRAM,95
2,ORIGINAL,25
3,PACK,312
4,RITZ,2
5,ALMOND,22
6,COOKIES,46
7,CRANBERRY,10
8,UNIBIC,2
9,BRITANNIA,160
10,BUTTER,51
11,CREAMY,126
12,DAY,4
13,GOOD,15
14,CASHEW,3
15,HEARTS,7
16,LITTLE,6
17,FARM,18
18,GOLDFISH,1
19,PEPPERIDGE,1
20,PIZZA,16
21,CAKES,49
22,CORN,16
23,FLAVOUR,124
24,QUAKER,5
25,NUTTER,1
26,PEANUT,16
27,SANDWICH,30
28,CLASSIC,35
29,BISLERI,6
30,BOTTLE,26
31,DRINKING,9
32,ML,6
33,PACKAGED,5
34,WATER,33
35,ALKALINE,2
36,HIMALAYAN,18
37,MINERAL,2
38,NATURAL,51
39,COFFEE,40
40,DOUBLE,6
41,DRINK,77
42,ESPRESSO,4
43,SHOT,6
44,OWL#SLEEPY,8
45,READY#TO,82
46,BEVERAGE,31
47,BULL,4
48,CALORIE,4
49,ENERGY,11
50,FREE,53
51,LOW,36
52,RED,63
53,SUGAR,58
54,STRAWBERRY,36
55,BOAT#PAPER,18
56,LEMONADE#REFRESHING,7
57,COSMIC,3
58,FUNCTIONAL,1
59,ELECTROLYTE,5
60,LEMON,27
61,GATORADE#SPORTS,2
62,GOLD,10
63,ICED,26
64,SWEET,66
65,TATA,31
66,TEA,19
67,ZERO,16
68,BLUEBERRY,16
69,DIET,4
70,GREEN,64
71,LIPN,1
72,PEACH,16
73,SWEETENED,12
74,DABUR,3
75,HONEY,19
76,ORGANIC,114
77,PURE,14
78,FRUIT,73
79,JAM,2
80,KISSAN,11
81,SPREAD,32
82,MANTRA,23
83,CHILLI,27
84,CHIPOTLE,5
85,SAUCE,44
86,SMOKY,5
87,SPICY,41
88,VEEBA,64
89,HICKORY,4
90,LIQUID,34
91,MARINADE,14
92,BLEND,28
93,GLUTEN,12
94,KEYA,14
95,MIX,74
96,SEASONING,32
97,EXTRA,25
98,HABANERO,2
99,HOT,29
100,GROUND,13
101,HORSERADISH,1
102,MUSTARD,7
103,STONE,8
104,WITH,50
105,AND,77
106,RICH,32
107,STEAK,11
108,THICK,7
109,DIP,42
110,RANCH,12
111,LIME,12
112,MAYONNAISE,6
113,DRESSING,19
114,BORGES,16
115,CAESAR,6
116,CROUTONS,8
117,CHEESE,189
118,JALAPENO,14
119,PEPPERS,40
120,PICKLED,20
121,SLICED,73
122,VEGETABLE,31
123,DICED,10
124,MILD,76
125,PIMENTO,1
126,OKRA,2
127,PRESERVED,20
128,TANGY,8
129,BABY,32
130,CRUNCHY,9
131,CUCUMBERS,12
132,DEL,41
133,DILL,9
134,MONTE,34
135,STYLE,88
136,BERRY,11
137,REFRESHING,2
138,SPARKLING,9
139,CANS,10
140,COKE,27
141,FRIDGE,1
142,SOFT,74
143,UP,5
144,COLA,13
145,VANILLA,38
146,CARBONATED,2
147,PEPSI,3
148,CHIPS,28
149,LAY,2
150,POTATO,40
151,S,59
152,SALT,33
153,SEA,7
154,PUFF,5
155,TOO#YUMM,15
156,ACT,6
157,KETTLE,1
158,II#POPCORN,6
159,ONION,26
160,SOUR,24
161,KURKURE,1
162,MASALA,13
163,SNACK,105
164,WAVY,3
