,comb_str,comb_freq,comb_size,imp_flag,bkt_below_10_cnt,bkt_10_20_cnt,bkt_20_50_cnt,bkt_50_100_cnt,bkt_100_above,comb_detail_str,conf_detail_str,conf_max,conf_min,conf_flag
0,PACK,312,3345,1,2,0,0,0,0,PACK~3,104.0,104.0,100.0,1
1,GRAM,95,3345,0,2,0,0,0,0,GRAM~2,47.5,47.5,47.5,1
2,ORIGINAL,25,3345,1,2,0,0,0,0,ORIGINAL~2,12.5,12.5,12.5,1
3,CRACKERS,25,3345,0,2,0,0,0,0,CRACKERS~2,12.5,12.5,12.5,1
4,COOKIES,46,3345,0,2,0,0,0,0,COOKIES~2,23.0,23.0,23.0,1
5,CRANBERRY,10,3345,0,2,0,0,0,0,CRANBERRY~2,5.0,5.0,5.0,1
6,ALMOND,22,3345,1,2,0,0,0,0,ALMOND~2,11.0,11.0,11.0,1
7,BRITANNIA,160,3345,0,2,0,0,0,0,BRITANNIA~3,53.33,53.33,53.33,1
8,CREAMY,126,3345,1,2,0,0,0,0,CREAMY~3,42.0,42.0,42.0,1
9,BUTTER,51,3345,1,2,0,0,0,0,BUTTER~2,25.5,25.5,25.5,1
10,GOOD,15,3345,0,2,0,0,0,0,GOOD~2,7.5,7.5,7.5,1
11,FARM,18,3345,0,2,0,0,0,0,FARM~2,9.0,9.0,9.0,1
12,PIZZA,16,3345,0,2,0,0,0,0,PIZZA~2,8.0,8.0,8.0,1
13,FLAVOUR,124,3345,1,2,0,0,0,0,FLAVOUR~3,41.33,41.33,41.33,1
14,CORN,16,3345,0,2,0,0,0,0,CORN~2,8.0,8.0,8.0,1
15,CAKES,49,3345,0,2,0,0,0,0,CAKES~2,24.5,24.5,24.5,1
16,PEANUT,16,3345,0,2,0,0,0,0,PEANUT~2,8.0,8.0,8.0,1
17,SANDWICH,30,3345,0,2,0,0,0,0,SANDWICH~2,15.0,15.0,15.0,1
18,CLASSIC,35,3345,0,2,0,0,0,0,CLASSIC~2,17.5,17.5,17.5,1
19,BOTTLE,26,3345,1,2,0,0,0,0,BOTTLE~2,13.0,13.0,13.0,1
20,WATER,33,3345,1,2,0,0,0,0,WATER~2,16.5,16.5,16.5,1
21,HIMALAYAN,18,3345,1,2,0,0,0,0,HIMALAYAN~2,9.0,9.0,9.0,1
22,NATURAL,51,3345,1,2,0,0,0,0,NATURAL~2,25.5,25.5,25.5,1
23,COFFEE,40,3345,1,2,0,0,0,0,COFFEE~2,20.0,20.0,20.0,1
24,DRINK,77,3345,0,2,0,0,0,0,DRINK~2,38.5,38.5,38.5,1
25,READY#TO,82,3345,0,2,0,0,0,0,READY#TO~2,41.0,41.0,41.0,1
26,BEVERAGE,31,3345,0,2,0,0,0,0,BEVERAGE~2,15.5,15.5,15.5,1
27,ENERGY,11,3345,0,2,0,0,0,0,ENERGY~2,5.5,5.5,5.5,1
28,FREE,53,3345,1,2,0,0,0,0,FREE~2,26.5,26.5,26.5,1
29,LOW,36,3345,0,2,0,0,0,0,LOW~2,18.0,18.0,18.0,1
30,RED,63,3345,1,2,0,0,0,0,RED~2,31.5,31.5,31.5,1
31,SUGAR,58,3345,1,2,0,0,0,0,SUGAR~2,29.0,29.0,29.0,1
32,STRAWBERRY,36,3345,1,2,0,0,0,0,STRAWBERRY~2,18.0,18.0,18.0,1
33,BOAT#PAPER,18,3345,0,2,0,0,0,0,BOAT#PAPER~2,9.0,9.0,9.0,1
34,LEMON,27,3345,1,2,0,0,0,0,LEMON~2,13.5,13.5,13.5,1
35,GOLD,10,3345,0,2,0,0,0,0,GOLD~2,5.0,5.0,5.0,1
36,ICED,26,3345,0,2,0,0,0,0,ICED~2,13.0,13.0,13.0,1
37,SWEET,66,3345,1,2,0,0,0,0,SWEET~2,33.0,33.0,33.0,1
