sr,word,synonym
0,word,word
1,RITZ,RITZ
2,ORIGINAL,ORIGINAL
3,CRACKERS,CRACKERS
4,GRAM,GRAM
5,PACK,PACK
6,UNIBIC,UNIBIC
7,CRANBERRY,CRANBERRY
8,ALMOND,ALMOND
9,COOKIES,COOKIES
10,BRITANNIA,BRITANNIA
11,GOOD,GOOD
12,DAY,DAY
13,CREAMY,CREAMY
14,BUTTER,BUTTER
15,CASHEW,CASHEW
16,LITTLE,LITTLE
17,HEARTS,HEARTS
18,PEPPERIDGE,PEPPERIDGE
19,FARM,FARM
20,GOLDFISH,GOLDFISH
21,PIZZA,PIZZA
22,QUAKER,QUAKER
23,CORN,CORN
24,CAKES,CAKES
25,FLAVOUR,FLAVOUR
26,NUTTER,NUTTER
27,PEANUT,PEANUT
28,SANDWICH,SANDWICH
29,CLASSIC,CLASSIC
30,BISLERI,BISLERI
31,PACKAGED,PACKAGED
32,DRINKING,DRINKING
33,WATER,WATER
34,BOTTLE,BOTTLE
35,HIMALAYAN,HIMALAYAN
36,NATURAL,NATURAL
37,MINERAL,MINERAL
38,ALKALINE,ALKALINE
39,SLEEPY,SLEEPY
40,OWL,OWL
41,DOUBLE,DOUBLE
42,SHOT,SHOT
43,ESPRESSO,ESPRESSO
44,READY,READY
45,DRINK,DRINK
46,COFFEE,COFFEE
47,RED,RED
48,BULL,BULL
49,SUGAR,SUGAR
50,FREE,FREE
51,ENERGY,ENERGY
52,LOW,LOW
53,CALORIE,CALORIE
54,BEVERAGE,BEVERAGE
55,PAPER,PAPER
56,BOAT,BOAT
57,STRAWBERRY,STRAWBERRY
58,LEMONADE,LEMONADE
59,FLAVOURED,FLAVOUR
60,REFRESHING,REFRESHING
61,COSMIC,COSMIC
62,FUNCTIONAL,FUNCTIONAL
63,GATORADE,GATORADE
64,LEMON,LEMON
65,SPORTS,SPORTS
66,ELECTROLYTE,ELECTROLYTE
67,TATA,TATA
68,TEA,TEA
69,GOLD,GOLD
70,SWEET,SWEET
71,ICED,ICED
72,ZERO,ZERO
73,GREEN,GREEN
74,BLUEBERRY,BLUEBERRY
75,DIET,DIET
76,LIPTON,LIPTON
77,PEACH,PEACH
78,SWEETENED,SWEETENED
79,DABUR,DABUR
80,ORGANIC,ORGANIC
81,HONEY,HONEY
82,PURE,PURE
83,SWEETENER,SWEETENED
84,KISSAN,KISSAN
85,JAM,JAM
86,FRUIT,FRUIT
87,SPREAD,SPREAD
88,MANTRA,MANTRA
89,VEEBA,VEEBA
90,CHIPOTLE,CHIPOTLE
91,SAUCE,SAUCE
92,SMOKY,SMOKY
93,SPICY,SPICY
94,CHILLI,CHILLI
95,LIQUID,LIQUID
96,SMOKE,SMOKY
97,HICKORY,HICKORY
98,COOKING,COOKIES
99,MARINADE,MARINADE
100,KEYA,KEYA
101,TACO,TATA
102,SEASONING,SEASONING
103,MIX,MIX
104,GLUTEN,GLUTEN
105,SPICE,SPICY
106,BLEND,BLEND
107,HABANERO,HABANERO
108,EXTRA,EXTRA
109,HOT,HOT
110,STONE,STONE
111,GROUND,GROUND
112,MUSTARD,MUSTARD
113,HORSERADISH,HORSERADISH
114,THICK,THICK
115,HEARTY,HEARTS
116,STEAK,STEAK
117,RICH,RICH
118,RANCH,RANCH
119,DIP,DIP
120,MAYONNAISE,MAYONNAISE
121,LIME,LIME
122,DRESSING,DRESSING
123,BORGES,BORGES
124,CROUTONS,CROUTONS
125,CAESAR,CAESAR
126,CHEESE,CHEESE
127,SLICED,SLICED
128,JALAPENO,JALAPENO
129,PEPPERS,PEPPERS
130,PICKLED,PICKLED
131,VEGETABLE,VEGETABLE
132,DICED,DICED
133,PIMENTO,PIMENTO
134,MILD,MILD
135,OKRA,OKRA
136,TANGY,TANGY
137,PRESERVED,PRESERVED
138,DEL,DEL
139,MONTE,MONTE
140,BABY,BABY
141,DILL,DILL
142,PICKLES,PICKLED
143,CRUNCHY,CRUNCHY
144,CUCUMBERS,CUCUMBERS
145,DELI,DEL
146,STYLE,STYLE
147,SPARKLING,SPARKLING
148,BERRY,BERRY
149,COKE,COKE
150,SOFT,SOFT
151,FRIDGE,FRIDGE
152,CANS,CANS
153,COLA,COLA
154,VANILLA,VANILLA
155,PEPSI,PEPSI
156,CARBONATED,CARBONATED
157,CAN,CANS
158,LAY'S,LAY'S
159,POTATO,POTATO
160,CHIPS,CHIPS
161,SEA,SEA
162,SALT,SALT
163,TOO,TOO
164,YUMM,YUMM
165,PUFF,PUFF
166,ACT,ACT
167,POPCORN,POPCORN
168,KETTLE,KETTLE
169,SOUR,SOUR
170,CREAM,CREAMY
171,ONION,ONION
172,KURKURE,KURKURE
173,SNACK,SNACK
174,MASALA,MASALA
175,WAVY,WAVY
176,DORITOS,DORITOS
177,TORTILLA,TORTILLA
178,SCOOPS,SCOOPS
179,STRIPS,STRIPS
180,HAPPILO,HAPPILO
181,ALMONDS,ALMOND
182,MEXICAN,MEXICAN
183,CASHEWS,CASHEW
184,SALTED,SALTED
185,HALDIRAM'S,HALDIRAM'S
186,PEANUTS,PEANUT
187,ROASTED,ROASTED
188,SMOKED,SMOKE
189,KERNELS,KERNELS
190,WHITE,WHITE
191,PEARL,PEARL
192,COUSCOUS,COUSCOUS
193,CAJUN,CAJUN
194,BROWN,BROWN
195,RICE,RICH
196,RITEBITE,RITEBITE
197,MAX,MAX
198,PROTEIN,PROTEIN
199,NUT,NUT
200,BAR,BAR
201,SALTY,SALT
202,YOGA,YOGA
203,FIG,FIG
204,FIBRE,FIBRE
205,KELLOGGS,KELLOGGS
206,NUTRI,NUTRI
207,GRAIN,GRAIN
208,BREAKFAST,BREAKFAST
209,ROLLS,ROLLS
210,MIXED,MIXED
211,INSTANT,INSTANT
212,OATS,OATS
213,REGULAR,REGULAR
214,PLAIN,PLAIN
215,HIGH,HIGH
216,SPECIAL,SPECIAL
217,MULTIGRAIN,MULTIGRAIN
218,CEREAL,CEREAL
219,MUESLI,MUESLI
220,SEEDS,SEEDS
221,FROOT,FROOT
222,LOOPS,LOOPS
223,CUP,CUP
224,WEIKFIELD,WEIKFIELD
225,CUSTARD,CUSTARD
226,POWDER,POWDER
227,DESSERT,DESSERT
228,HERSHEYS,HERSHEYS
229,BUTTERSCOTCH,BUTTERSCOTCH
230,SYRUP,SYRUP
231,ICE,ICED
232,DESSERTS,DESSERT
233,BLUE,BLUE
234,BIRD,BIRD
235,DRY,DRY
236,YEAST,YEAST
237,BAKING,BAKING
238,INGREDIENT,INGREDIENT
239,PILLSBURY,PILLSBURY
240,APPLE,APPLE
241,CINNAMON,CINNAMON
242,MUFFIN,MUFFIN
243,BAKE,BAKE
244,CADBURY,CADBURY
245,COCOA,COCOA
246,MARSHMALLOW,MARSHMALLOW
247,CORNBREAD,CORNBREAD
248,CHOCOLATE,CHOCOLATE
249,CHIP,CHIPS
250,EVEREST,EVEREST
251,TOASTED,TOASTED
252,SESAME,SESAME
253,PREMIUM,PREMIUM
254,REFINED,REFINED
255,COCONUT,COCONUT
256,OIL,OIL
257,AASHIRVAAD,AASHIRVAAD
258,WHEAT,WHEAT
259,FLOUR,FLOUR
260,DHAMPURE,DHAMPURE
261,RAW,RAW
262,UNREFINED,UNREFINED
263,INDIA,INDIA
264,HERBAL,HERBAL
265,CALM,CALM
266,RELAXATION,RELAXATION
267,BRU,BRU
268,FRENCH,FRENCH
269,ROAST,ROASTED
270,STRONG,STRONG
271,AROMA,AROMA
272,HOUSE,HOUSE
273,CONTINENTAL,CONTINENTAL
