,word,freq
0,RITZ,1
1,ORIGINAL,1
2,CRACKERS,1
3,GRAM,1
4,PACK,1
5,UNIBIC,1
6,CRANBERRY,1
7,ALMOND,1
8,COOKIES,1
9,BRITANNIA,1
10,GOOD,1
11,DAY,1
12,CREAMY,1
13,BUTTER,1
14,CASHEW,1
15,LITTLE,1
16,HEARTS,1
17,PEPPERIDGE,1
18,FARM,1
19,GOLDFISH,1
20,PIZZA,1
21,QUAKER,1
22,CORN,1
23,CAKES,1
24,FLAVOUR,1
25,NUTTER,1
26,PEANUT,1
27,SANDWICH,1
28,CLASSIC,1
29,BISLERI,1
30,PACKAGED,1
31,DRINKING,1
32,WATER,1
33,BOTTLE,2
34,HIMALAYAN,1
35,NATURAL,1
36,MINERAL,1
37,ALKALINE,1
38,SLEEPY,1
39,OWL,1
40,DOUBLE,1
41,SHOT,1
42,ESPRESSO,1
43,READY,1
44,DRINK,1
45,COFFEE,1
46,RED,1
47,BULL,1
48,SUGAR,1
49,FREE,1
50,ENERGY,1
51,LOW,1
52,CALORIE,1
53,BEVERAGE,1
54,PAPER,1
55,BOAT,1
56,STRAWBERRY,1
57,LEMONADE,1
58,FLAVOURED,1
59,REFRESHING,1
60,COSMIC,1
61,FUNCTIONAL,1
62,GATORADE,1
63,LEMON,1
64,SPORTS,1
65,ELECTROLYTE,1
66,TATA,1
67,TEA,1
68,GOLD,1
69,SWEET,1
70,ICED,1
71,ZERO,1
72,GREEN,1
73,BLUEBERRY,1
74,DIET,1
75,LIPTON,1
76,PEACH,1
77,SWEETENED,1
78,DABUR,1
79,ORGANIC,1
80,HONEY,1
81,PURE,1
82,SWEETENER,1
83,KISSAN,1
84,JAM,1
85,FRUIT,1
86,SPREAD,1
87,MANTRA,1
88,VEEBA,1
89,CHIPOTLE,1
90,SAUCE,1
91,SMOKY,1
92,SPICY,1
93,CHILLI,1
94,LIQUID,1
95,SMOKE,1
96,HICKORY,1
97,COOKING,1
98,MARINADE,1
99,KEYA,1
100,TACO,1
101,SEASONING,1
102,MIX,1
103,GLUTEN,1
104,SPICE,1
105,BLEND,1
106,HABANERO,1
107,EXTRA,1
108,HOT,1
109,STONE,1
110,GROUND,1
111,MUSTARD,1
112,HORSERADISH,1
113,THICK,1
114,HEARTY,1
115,STEAK,1
116,RICH,1
117,RANCH,1
118,DIP,1
119,MAYONNAISE,1
120,LIME,1
121,DRESSING,1
122,BORGES,1
123,CROUTONS,1
124,CAESAR,1
125,CHEESE,1
126,SLICED,1
127,JALAPENO,1
128,PEPPERS,1
129,PICKLED,1
130,VEGETABLE,1
131,DICED,1
132,PIMENTO,1
133,MILD,1
134,OKRA,1
135,TANGY,1
136,PRESERVED,1
137,DEL,1
138,MONTE,1
139,BABY,1
140,DILL,1
141,PICKLES,1
142,CRUNCHY,1
143,CUCUMBERS,1
144,DELI,1
145,STYLE,1
146,SPARKLING,1
147,BERRY,1
148,COKE,1
149,SOFT,1
150,FRIDGE,1
151,CANS,1
152,COLA,1
153,VANILLA,1
154,PEPSI,1
155,CARBONATED,1
156,CAN,1
157,LAY'S,1
158,POTATO,1
159,CHIPS,1
160,SEA,1
161,SALT,1
162,TOO,1
163,YUMM,1
164,PUFF,1
165,ACT,2
166,II,6
167,POPCORN,1
168,KETTLE,1
169,SOUR,1
170,CREAM,1
171,ONION,1
172,KURKURE,1
173,SNACK,1
174,MASALA,1
175,WAVY,1
176,DORITOS,1
177,TORTILLA,1
178,SCOOPS,1
179,STRIPS,1
180,HAPPILO,1
181,ALMONDS,1
182,MEXICAN,1
183,CASHEWS,1
184,SALTED,1
185,HALDIRAM'S,1
186,PEANUTS,1
187,ROASTED,1
188,SMOKED,1
189,KERNELS,1
190,WHITE,1
191,PEARL,1
192,COUSCOUS,1
193,CAJUN,1
194,BROWN,1
195,RICE,1
196,RITEBITE,1
197,MAX,1
198,PROTEIN,1
199,NUT,1
200,BAR,1
201,SALTY,1
202,YOGA,1
203,FIG,1
204,FIBRE,1
205,KELLOGGS,1
206,NUTRI,1
207,GRAIN,1
208,BREAKFAST,1
209,ROLLS,1
210,MIXED,1
211,INSTANT,1
212,OATS,1
213,REGULAR,1
214,PLAIN,1
215,HIGH,1
216,SPECIAL,1
217,K,1
218,MULTIGRAIN,1
219,CEREAL,1
220,MUESLI,1
221,SEEDS,1
222,FROOT,1
223,LOOPS,1
224,CUP,1
225,WEIKFIELD,1
226,CUSTARD,1
227,POWDER,1
228,DESSERT,1
229,HERSHEYS,1
230,BUTTERSCOTCH,1
231,SYRUP,1
232,ICE,1
233,DESSERTS,1
234,BLUE,1
235,BIRD,1
236,DRY,1
237,YEAST,1
238,BAKING,1
239,INGREDIENT,1
240,PILLSBURY,1
241,APPLE,1
242,CINNAMON,1
243,MUFFIN,1
244,BAKE,1
245,CADBURY,1
246,COCOA,1
247,MARSHMALLOW,1
248,CORNBREAD,1
249,CHOCOLATE,1
250,CHIP,1
251,EVEREST,1
252,TOASTED,1
253,SESAME,1
254,PREMIUM,1
255,REFINED,1
256,COCONUT,1
257,OIL,1
258,AASHIRVAAD,1
259,WHEAT,1
260,FLOUR,1
261,DHAMPURE,1
262,RAW,1
263,UNREFINED,1
264,INDIA,1
265,HERBAL,1
266,CALM,1
267,RELAXATION,1
268,BRU,1
269,FRENCH,1
270,ROAST,1
271,STRONG,1
272,AROMA,1
273,HOUSE,1
274,CONTINENTAL,1
275,TOFFEE,1
276,PODS,1
277,BLONDE,1
278,CAPPUCCINO,1
279,DONUT,1
280,SHOP,1
281,DARK,1
282,COLOMBIA,1
283,TOKAI,1
284,GUATEMALAN,1
285,MOCHA,1
286,TASTE,1
287,BASED,1
288,CANISTER,1
289,MINT,1
290,AMUL,1
291,UHT,7
292,MILK,1
293,REAL,1
294,RASPBERRY,1
295,JUICE,1
296,ACTIV,1
297,SODIUM,1
298,PEAR,1
299,NESTLE,1
300,FAT,1
301,PENNE,1
302,RIGATE,1
303,PASTA,1
304,DURUM,1
305,TOMATO,1
306,PESTO,1
307,BASIL,1
308,NAVNEET,1
309,WRITING,1
310,NOTEBOOK,1
311,PRIMARY,1
312,CASIO,1
313,CALCULATOR,1
314,BASIC,1
315,KANGARO,1
316,CLIPS,1
317,JUMBO,1
318,JOHN,1
319,WEST,1
320,TUNA,1
321,CHUNKS,1
322,LIGHT,1
323,STANLEY,1
324,LEATHER,1
325,GLOVES,1
326,LARGE,1
327,ORIGAMI,1
328,FOAM,1
329,CUPS,1
330,OUNCE,1
331,DISPOSABLE,1
332,ULTRA,1
333,FACIAL,1
334,TISSUE,1
335,BOX,1
336,PULLS,1
337,CLEAR,1
338,PLASTIC,1
339,RECYCLABLE,1
340,PARTY,1
341,PLATES,1
342,INCH,1
343,USE,1
344,GOODKNIGHT,1
345,ANT,1
346,BAIT,1
347,TRAP,1
348,EFFECTIVE,1
349,PEST,1
350,CONTROL,1
351,SOLUTION,1
352,KNORR,1
353,MUSHROOM,1
354,SOUP,1
355,BASE,1
356,CHICKEN,1
357,BROTH,1
358,REDUCED,1
359,ASEPTIC,1
360,STOCK,1
361,SERVE,1
362,NOODLE,1
363,COOK,1
364,DEPOSIT,2
365,CHARGE,1
366,SINGLE,1
367,UNIT,1
368,NON,1
369,FOOD,1
370,SERVICE,1
371,GROCERY,1
372,DISCOUNT,1
373,COUPON,1
374,DIGITAL,1
375,REDEMPTION,1
376,CODE,1
377,OFFER,1
378,PUREPET,1
379,WET,1
380,CAT,1
381,SAVIC,1
382,MULTI,1
383,CLUMPING,1
384,LITTER,1
385,FRESH,1
386,FRAGRANCE,1
387,DROOLS,1
388,SEAFOOD,1
389,TREATS,1
390,PEDIGREE,1
391,ADULT,1
392,DOG,1
393,SALMON,1
394,PROACTIVE,1
395,HEALTH,1
396,MINI,1
397,HIMALAYA,1
398,STAIN,1
399,ODOUR,1
400,REMOVER,1
401,CLEANING,1
402,SPRAY,1
403,KITTEN,1
404,VARIETY,1
405,GRAVY,1
406,QUALITY,1
407,RECIPE,1
408,VIM,1
409,DISHWASHER,1
410,GEL,1
411,DETERGENT,1
412,AUTOMATIC,1
413,MACHINES,1
414,FINISH,1
415,RINSE,1
416,AID,1
417,ALL,1
418,ONE,1
419,TABLETS,1
420,SCENT,1
421,COMFORT,1
422,FABRIC,1
423,SOFTENER,1
424,DRYER,1
425,SHEETS,1
426,SURF,1
427,EXCEL,1
428,MACHINE,1
429,WASH,1
430,HEAVY,1
431,DUTY,1
432,PIGEON,1
433,SLIDER,1
434,FREEZER,1
435,STORAGE,1
436,BAGS,1
437,QUART,1
438,SIZE,1
439,GALLON,1
440,AIRTIGHT,1
441,PRESTIGE,1
442,ALUMINIUM,1
443,ROASTER,1
444,PAN,1
445,STICK,1
446,LOAF,1
447,GODREJ,1
448,AIR,1
449,FRESHENER,1
450,REFILL,1
451,TROPICAL,1
452,DETTOL,1
453,DISINFECTANT,1
454,MILTON,1
455,PLUG-IN,1
456,LAVENDER,1
457,ODONIL,1
458,BLOCK,1
459,LIZOL,1
460,FLOOR,1
461,CLEANER,1
462,GALA,1
463,GARBAGE,1
464,SCOTCH-BRITE,1
465,SCRUB,1
466,SPONGE,1
467,OPTIMUM,1
468,NUTRITION,1
469,STANDARD,1
470,WHEY,1
471,ENSURE,1
472,SHAKE,1
473,WATERMELON,1
474,GRANOLA,1
475,URBAN,1
476,PLATTER,1
477,POLENTA,1
478,HOMMADE,1
479,CHINGÆS,1
480,CHOW,1
481,MEIN,1
482,NOODLES,1
483,CHESTNUTS,1
484,CHEETOS,1
485,MAC,1
486,FLAMIN,1
487,KRAFT,1
488,CHEESY,1
489,SHELLS,1
490,MOKSH,1
491,JESUS,1
492,PRAYER,1
493,CANDLE,1
494,REFRIED,1
495,BEANS,1
496,WINGREENS,1
497,BEAN,1
498,FIERY,1
499,FARMS,1
500,SOUTHWEST,1
501,ENCHILADA,1
502,CATCH,1
503,WHOLE,1
504,RAJMA,1
505,BAKED,1
506,IN,1
507,PRASUMA,1
508,TO,1
509,EAT,1
510,RAVIOLI,1
511,TATTVA,1
512,KABULI,1
513,CHANA,1
514,SLURRP,1
515,PUREE,1
516,POUCH,1
517,YUMMIEZ,1
518,POTSTICKERS,1
519,FROZEN,1
520,ITALIAN,1
521,MEATBALLS,1
522,BURGER,1
523,PATTY,1
524,JUICY,1
525,VENKYÆS,1
526,NUGGETS,1
527,CRISPY,1
528,ITC,20
529,MASTER,1
530,CHEF,1
531,FINGERS,1
532,MEAL,1
533,DOGS,1
534,PRETZEL,1
535,BITE,1
536,HOMESTYLE,1
537,BITES,1
538,BUFFALO,1
539,BONELESS,1
540,FRY,1
541,FULLY,1
542,COOKED,1
543,PATTIES,1
544,HEAT,1
545,WINGS,1
546,FRYER,1
547,ORANGE,1
548,POT,1
549,PIE,1
550,LOADED,1
551,CORDON,1
552,BLEU,1
553,STUFFED,1
554,CUTLETS,1
555,BREAST,1
556,CHEDDAR,1
557,SLIDERS,1
558,GOURMET,1
559,SPICES,1
560,LICIOUS,1
561,TANDOORI,1
562,MARINATED,1
563,CUTS,1
564,LAMB,1
565,LEG,1
566,SHORT,1
567,CUT,1
568,TENDER,1
569,MEAT,1
570,EMPANADA,1
571,BACK,1
572,RIBS,1
573,KABOBS,1
574,VEGETABLES,1
575,SKEWERS,1
576,COUNTRY,1
577,SAUSAGE,1
578,SPICED,1
