word,base_word
unibic,unibic
cranberry,cranberry
almond,almond
cookies,cooky
gram,gram
pack,pack
britannia,britannia
good,good
day,day
creamy,creamy
butter,butter
cashew,cashew
little,little
hearts,heart
ritz,ritz
original,original
crackers,cracker
pepperidge,pepperidge
farm,farm
goldfish,goldfish
pizza,pizza
quaker,quaker
corn,corn
cakes,cake
flavour,flavour
nutter,nutter
peanut,peanut
sandwich,sandwich
classic,classic
bisleri,bisleri
packaged,package
drinking,drink
water,water
bottle,bottle
himalayan,himalayan
natural,natural
mineral,mineral
alkaline,alkaline
sleepy,sleepy
owl,owl
double,double
shot,shoot
espresso,espresso
ready,ready
drink,drink
coffee,coffee
red,red
bull,bull
sugar,sugar
free,free
energy,energy
low,low
calorie,calorie
beverage,beverage
paper,paper
boat,boat
strawberry,strawberry
lemonade,lemonade
flavoured,flavour
refreshing,refresh
cosmic,cosmic
functional,functional
gatorade,gatorade
lemon,lemon
sports,sport
electrolyte,electrolyte
tata,tata
tea,tea
gold,gold
sweet,sweet
iced,ice
zero,zero
green,green
blueberry,blueberry
diet,diet
lipton,lipton
peach,peach
sweetened,sweeten
dabur,dabur
organic,organic
honey,honey
pure,pure
sweetener,sweetener
kissan,kissan
jam,jam
fruit,fruit
spread,spread
mantra,mantra
veeba,veeba
chipotle,chipotle
sauce,sauce
smoky,smoky
spicy,spicy
chilli,chilli
liquid,liquid
smoke,smoke
hickory,hickory
cooking,cook
marinade,marinade
keya,keya
taco,taco
seasoning,season
mix,mix
gluten,gluten
spice,spice
blend,blend
habanero,habanero
extra,extra
hot,hot
stone,stone
ground,grind
mustard,mustard
with,with
horseradish,horseradish
thick,thick
and,and
hearty,hearty
steak,steak
rich,rich
ranch,ranch
dip,dip
mayonnaise,mayonnaise
lime,lime
dressing,dress
borges,borges
croutons,crouton
caesar,caesar
cheese,cheese
sliced,slice
jalapeno,jalapeno
peppers,pepper
pickled,pickle
vegetable,vegetable
diced,dice
pimento,pimento
mild,mild
okra,okra
tangy,tangy
preserved,preserve
del,del
monte,monte
baby,baby
dill,dill
pickles,pickle
crunchy,crunchy
cucumbers,cucumber
deli,deli
style,style
sparkling,sparkle
berry,berry
coke,coke
soft,soft
fridge,fridge
cans,can
cola,cola
vanilla,vanilla
pepsi,pepsi
carbonated,carbonate
can,can
lay,lay
potato,potato
chips,chip
sea,sea
salt,salt
too,too
yumm,yumm
puff,puff
act,act
popcorn,popcorn
kettle,kettle
sour,sour
cream,cream
onion,onion
kurkure,kurkure
snack,snack
masala,masala
wavy,wavy
doritos,doritos
tortilla,tortilla
scoops,scoop
strips,strip
happilo,happilo
almonds,almond
mexican,mexican
cashews,cashew
salted,salt
haldiram,haldiram
peanuts,peanut
roasted,roast
smoked,smoke
kernels,kernel
white,white
pearl,pearl
couscous,couscous
cajun,cajun
brown,brown
rice,rice
ritebite,ritebite
max,max
protein,protein
nut,nut
bar,bar
salty,salty
yoga,yoga
fig,fig
fibre,fibre
kelloggs,kellogg
nutri,nutri
grain,grain
breakfast,breakfast
rolls,roll
mixed,mix
instant,instant
oats,oat
regular,regular
plain,plain
high,high
special,special
multigrain,multigrain
cereal,cereal
muesli,muesli
seeds,seed
froot,froot
loops,loop
cup,cup
weikfield,weikfield
custard,custard
powder,powder
dessert,dessert
hersheys,hershey
butterscotch,butterscotch
syrup,syrup
for,for
ice,ice
desserts,dessert
blue,blue
bird,bird
dry,dry
yeast,yeast
baking,bake
ingredient,ingredient
pillsbury,pillsbury
apple,apple
cinnamon,cinnamon
muffin,muffin
bake,bake
cadbury,cadbury
cocoa,cocoa
marshmallow,marshmallow
cornbread,cornbread
chocolate,chocolate
chip,chip
everest,everest
toasted,toast
sesame,sesame
premium,premium
refined,refine
coconut,coconut
oil,oil
aashirvaad,aashirvaad
wheat,wheat
flour,flour
dhampure,dhampure
raw,raw
unrefined,unrefined
india,india
herbal,herbal
calm,calm
relaxation,relaxation
bru,bru
french,french
roast,roast
strong,strong
aroma,aroma
house,house
continental,continental
toffee,toffee
pods,pod
blonde,blonde
cappuccino,cappuccino
donut,donut
shop,shop
dark,dark
colombia,colombia
tokai,tokai
guatemalan,guatemalan
mocha,mocha
taste,taste
based,base
canister,canister
mint,mint
amul,amul
uht,uht
milk,milk
real,real
raspberry,raspberry
juice,juice
activ,activ
sodium,sodium
pear,pear
nestle,nestle
fat,fat
penne,penne
rigate,rigate
pasta,pasta
durum,durum
tomato,tomato
pesto,pesto
basil,basil
navneet,navneet
writing,write
notebook,notebook
primary,primary
casio,casio
calculator,calculator
basic,basic
kangaro,kangaro
clips,clip
jumbo,jumbo
john,john
west,west
tuna,tuna
chunks,chunk
light,light
stanley,stanley
leather,leather
gloves,glove
large,large
origami,origami
foam,foam
cups,cup
ounce,ounce
disposable,disposable
ultra,ultra
facial,facial
tissue,tissue
box,box
pulls,pull
clear,clear
plastic,plastic
recyclable,recyclable
party,party
plates,plate
inch,inch
use,use
goodknight,goodknight
ant,ant
bait,bait
trap,trap
effective,effective
pest,pest
control,control
solution,solution
knorr,knorr
mushroom,mushroom
soup,soup
base,base
chicken,chicken
broth,broth
reduced,reduce
aseptic,aseptic
stock,stock
serve,serve
noodle,noodle
cook,cook
deposit,deposit
charge,charge
single,single
unit,unit
non,non
food,food
service,service
grocery,grocery
discount,discount
coupon,coupon
digital,digital
redemption,redemption
code,code
offer,offer
purepet,purepet
wet,wet
cat,cat
savic,savic
multi,multi
clumping,clump
litter,litter
fresh,fresh
fragrance,fragrance
drools,drool
seafood,seafood
treats,treat
pedigree,pedigree
adult,adult
dog,dog
salmon,salmon
proactive,proactive
health,health
mini,mini
himalaya,himalaya
stain,stain
odour,odour
remover,remover
cleaning,clean
spray,spray
kitten,kitten
variety,variety
gravy,gravy
quality,quality
recipe,recipe
vim,vim
dishwasher,dishwasher
gel,gel
detergent,detergent
automatic,automatic
machines,machine
finish,finish
rinse,rinse
aid,aid
all,all
one,one
tablets,tablet
scent,scent
comfort,comfort
fabric,fabric
softener,softener
dryer,dryer
sheets,sheet
surf,surf
excel,excel
machine,machine
wash,wash
heavy,heavy
duty,duty
pigeon,pigeon
slider,slider
freezer,freezer
storage,storage
bags,bag
quart,quart
size,size
gallon,gallon
airtight,airtight
prestige,prestige
aluminium,aluminium
roaster,roaster
pan,pan
stick,stick
loaf,loaf
godrej,godrej
aer,aer
air,air
freshener,freshener
refill,refill
tropical,tropical
dettol,dettol
disinfectant,disinfectant
milton,milton
plug,plug
lavender,lavender
odonil,odonil
block,block
lizol,lizol
floor,floor
cleaner,cleaner
gala,gala
garbage,garbage
scotch,scotch
brite,brite
scrub,scrub
sponge,sponge
optimum,optimum
nutrition,nutrition
standard,standard
whey,whey
ensure,ensure
shake,shake
watermelon,watermelon
granola,granola
urban,urban
platter,platter
polenta,polenta
hommade,hommade
ching,ching
chow,chow
mein,mein
noodles,noodle
chestnuts,chestnut
cheetos,cheetos
mac,mac
flamin,flamin
kraft,kraft
cheesy,cheesy
shells,shell
moksh,moksh
jesus,jesus
prayer,prayer
candle,candle
refried,refried
beans,bean
wingreens,wingreens
bean,bean
fiery,fiery
farms,farm
southwest,southwest
enchilada,enchilada
catch,catch
whole,whole
rajma,rajma
baked,bake
prasuma,prasuma
eat,eat
ravioli,ravioli
tattva,tattva
kabuli,kabuli
chana,chana
slurrp,slurrp
puree,puree
pouch,pouch
yummiez,yummiez
potstickers,potstickers
frozen,freeze
italian,italian
meatballs,meatball
burger,burger
patty,patty
juicy,juicy
venky,venky
nuggets,nugget
crispy,crispy
itc,itc
master,master
chef,chef
fingers,finger
meal,meal
dogs,dog
pretzel,pretzel
bite,bite
homestyle,homestyle
bites,bite
buffalo,buffalo
boneless,boneless
fry,fry
fully,fully
cooked,cook
patties,patty
heat,heat
wings,wing
fryer,fryer
orange,orange
pot,pot
pie,pie
loaded,load
cordon,cordon
bleu,bleu
stuffed,stuff
cutlets,cutlet
breast,breast
cheddar,cheddar
sliders,slider
gourmet,gourmet
spices,spice
licious,licious
tandoori,tandoori
marinated,marinate
cuts,cut
lamb,lamb
leg,leg
short,short
cut,cut
tender,tender
meat,meat
empanada,empanada
back,back
ribs,rib
kabobs,kabob
vegetables,vegetable
skewers,skewer
country,country
sausage,sausage
spiced,spice
links,link
paprika,paprika
goat,goat
belly,belly
skinless,skinless
hand,hand
trimmed,trim
thin,thin
neck,neck
bones,bone
