word,imp_fg
DEODORANT,1
WOMEN,0
FOUNDATION,1
LAKM,0
SPRAY,1
MAYBELLINE,0
FACES,1
CANADA,0
MATTE,1
LIPSTICK,1
BLACK,0
SUGAR,0
COSMETICS,1
COLORBAR,1
EYELINER,1
LIQUID,0
ROLL,0
ON,0
COMFORT,0
NEW,0
YORK,0
NAIL,1
WILD,0
STONE,0
HAIR,1
CREAMY,1
LINER,1
CONDITIONER,1
PEACH,0
ENRICH,0
COLOR,0
BROWN,0
VANILLA,0
ENGAGE,0
ME,0
NUDE,0
ROSE,0
DARK,0
PENCIL,0
SWEET,0
ALMOND,1
FACE,1
FIT,1
IVORY,0
MAKEUP,1
BEIGE,0
PORCELAIN,0
ROSEWOOD,0
A,0
RED,0
LACQUER,0
FELT,0
TIP,0
EYEBROW,1
KIT,0
MASCARA,1
VERY,0
WATERPROOF,0
BLUE,0
COOL,0
SANDALWOOD,1
FIJI,0
YARDLEY,0
HEAD,0
SHOULDERS,0
DRY,0
DAMAGED,0
OILY,0
DIAPER,1
RASH,0
PURIFYING,0
NEEM,0
MAPLE,0
INVISIBLE,0
FINISH,0
OAK,0
HIGHLIGHTER,1
DEW,0
FROST,0
TAN,0
BISQUE,1
WALNUT,1
FLORAL,0
TONE,0
PERFECT,0
VIOLET,0
LUMBER,1
PARTNER,0
COFFEE,1
CRAVE,0
SPELLBOUND,0
LIT,0
FIRE,0
DULCE,0
DE,0
LECHE,1
SWEETHEART,0
BLUSH,1
HOT,0
GARNET,0
SCARLET,0
SIENNA,0
ROMANCE,0
MAUVE,0
AT,0
DAWN,0
COZUMELTED,0
IN,0
NOLA,0
WAY,0
AURORA,0
BERRY,1
BIG,0
APPLE,1
DON,0
T,0
BOSSA,0
NOVA,0
ASH,0
PURPLE,0
KAJAL,1
LIGHT,0
CRYSTAL,0
BAY,0
RUM,1
LIME,1
BOURBON,1
VETIVER,0
FOGG,0
ADVENTURE,0
RAIN,0
PLUS,0
SHIELD,0
COASTAL,0
MANDARIN,0
UNSCENTED,1
PAC,0
OCEAN,0
HONEY,1
JASMINE,0
POWDER,1
SET,0
WET,0
STYLING,1
MAX,0
HOLD,0
HYDRATION,1
SCALP,1
CLOSE,0
UP,0
STICK,1
TOOTHPASTE,1
MEN,0
DOVE,0
NIVEA,0
FRESH,1
SENSODYNE,0
BODY,0
GEL,1
BATH,1
LIP,1
WHITE,1
WASH,1
HIMALAYA,0
SALT,1
NATURAL,1
CLEAN,1
PRONAMEL,1
SENSITIVE,0
CARE,1
WHITENING,0
COLGATE,0
EXTRA,0
LAVENDER,1
TWIN,0
PACK,0
SHAVING,0
BABY,0
VISIBLE,0
BALM,1
KHADI,0
CREAM,1
GILLETTE,0
SKIN,0
BUBBLE,0
SHAMPOO,1
MINT,0
LOTION,1
SPF,0
WATER,1
CARBAMIDE,0
FORTE,0
ENAMEL,0
REPAIR,0
PROTECTION,0
GENTLE,0
TOTAL,0
SENSITIVITY,0
ALOE,0
SHEA,0
OIL,1
LIFEBUOY,0
HAND,0
SANITIZER,1
NEUTROGENA,0
SUN,0
CETAPHIL,0
CLEANSER,1
MG,0
INTENSIVE,0
FOR,0
TEETH,0
WAVE,0
FLAVOUR,0
DEEP,0
GUM,0
PROTECT,0
COMPLETE,0
CHARCOAL,0
ORIGINAL,0
ULTRA,0
MOISTURIZING,1
PARK,0
AVENUE,0
TEA,0
PATANJALI,0
SOULFLOWER,0
EUCALYPTUS,0
SLEEP,0
THERAPY,0
RELAXING,0
THE,0
LOVE,0
SHOWER,0
COCONUT,0
FRUITY,0
SHINE,0
SUNSCREEN,1
HYDRO,0
BOOST,0
CAPSULES,1
MELATONIN,0
TABLETS,1
WITH,0
MULTI,0
ACTION,0
PARODONTAX,0
SPARKLING,1
HERBAL,1
O,0
ACTIVE,0
CHERRY,0
BOROLINE,0
ANTISEPTIC,0
OF,0
DABUR,0
CHYAWANPRASH,0
GUMMIES,0
TREE,0
VERA,0
CEDARWOOD,0
BUTTER,0
SEA,0
HIMALAYAN,0
STRESS,0
RELIEF,0
AROMAHPURE,0
CO,0
ELDERBERRY,0
IMPACT,0
DEEPLY,0
NOURISHING,0
JOJOBA,0
PUMP,0
BOTTLE,1
PARACHUTE,0
ADVANCED,0
VASELINE,0
DAILY,0
FRAGRANCE,0
FREE,0
LAKME,0
STRAWBERRY,0
SHEER,0
MOISTURE,0
LOTUS,0
HERBALS,0
SAFE,0
SPORT,0
MOISTURISING,0
VITAMIN,0
D,0
K,0
IU,0
SOFTGEL,0
PROBIOTIC,0
STRAIN,0
HEALTHKART,0
FISH,1
LEMON,1
SOFTGELS,1
