,ing_id,cls_rep_id
0,10913,10913
1,10914,10913
2,10950,10950
3,10367,10367
4,10366,10367
5,10133,10133
6,10907,10907
7,10179,10179
8,10180,10179
9,11049,11049
10,10810,10810
11,10106,10810
12,10894,10894
13,10134,10134
14,10330,10330
15,10368,10368
16,10347,10368
17,11043,11043
18,10809,10809
19,10813,10813
20,10816,10813
21,10820,10820
22,10818,10820
23,10125,10125
24,10904,10904
25,10135,10135
26,10910,10910
27,10906,10910
28,10917,10917
29,11031,11031
30,11046,11046
31,11053,11046
32,10376,10376
33,10374,10376
34,10703,10703
35,10701,10703
36,11025,11025
37,10991,10991
38,10992,10991
39,10815,10815
40,10107,10815
41,10127,10127
42,10130,10130
43,10014,10014
44,10334,10334
45,10378,10378
46,11010,11010
47,11045,11045
48,11047,11045
49,10126,10126
50,10900,10126
51,10903,10903
52,10375,10375
53,10425,10425
54,10048,10425
55,10426,10425
56,10946,10946
57,11090,11090
58,11024,11024
59,11026,11024
60,11027,11027
61,11051,11051
62,10324,10324
63,10323,10324
64,10322,10324
65,10808,10808
66,10041,10041
67,11104,11104
68,10277,10277
69,11015,11015
70,11012,11015
71,11017,11015
72,11050,11050
73,11055,11055
74,10173,10173
75,20962,20962
76,10821,10821
77,11032,11032
78,20709,20709
79,20976,20976
80,10004,10004
81,10108,10108
82,10909,10909
83,10912,10909
84,10804,10804
85,10338,10338
86,10290,10290
87,11042,11042
88,11048,11048
89,20899,20899
90,10934,10934
91,10316,10316
92,10915,10915
93,10895,10895
94,10332,10332
95,10370,10370
96,10381,10381
97,10358,10358
98,10421,10421
99,10404,10421
100,10411,10421
101,10415,10421
102,11092,11092
103,11101,11101
104,11100,11101
105,20879,20879
106,20878,20879
107,10932,10932
108,10264,10264
109,10905,10905
110,10335,10335
111,10019,10335
112,10326,10326
113,10329,10326
114,10325,10326
115,10327,10326
116,10377,10377
117,10027,10377
118,10372,10377
119,10379,10379
120,10383,10379
121,10380,10380
122,10420,10420
123,10408,10408
124,10676,10676
125,10639,10639
126,11094,11094
127,11099,11099
128,10279,10279
129,11052,11052
130,20983,20983
131,10263,10263
132,10318,10318
133,10982,10982
134,10807,10807
135,10814,10814
136,10817,10814
137,10776,10776
138,10328,10328
139,10089,10089
140,10702,10702
141,10066,10066
142,10067,10066
143,10069,10066
144,10068,10066
145,10597,10066
146,10636,10636
147,10291,10291
148,11044,11044
149,11054,11054
150,10554,10554
151,20365,20365
152,10931,10931
153,10147,10147
154,10256,10256
155,10314,10314
156,10189,10189
157,10188,10189
158,10544,10544
