,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2021-05-31,1940.145263671875,2022.9383544921875,1924.50048828125,1993.9561767578125,1973.59521484375,29562071,3150.0,3170.35009765625,3128.60009765625,3159.14990234375,2968.349609375,1652799,1401.5,1401.5,1383.0,1393.75,1317.2664794921875,4429904
2021-06-01,1999.21728515625,2032.4453125,1981.21875,2001.89404296875,1981.4520263671875,14006916,3168.60009765625,3169.949951171875,3132.0,3153.0,2962.57177734375,1377441,1400.0,1401.0,1378.6500244140625,1387.199951171875,1311.0758056640625,4791325
2021-06-02,1990.9102783203125,2039.3677978515625,1990.9102783203125,2031.7530517578125,2011.0059814453125,12315081,3150.85009765625,3159.449951171875,3115.0,3129.449951171875,2940.4443359375,2240078,1380.75,1391.949951171875,1365.0,1378.6500244140625,1302.9951171875,9272276
2021-06-03,2049.982177734375,2076.749267578125,2026.9996337890625,2039.5062255859375,2018.68017578125,11987128,3154.550048828125,3154.550048828125,3122.64990234375,3141.25,2951.53125,1281706,1388.0999755859375,1399.0,1377.050048828125,1389.6500244140625,1313.3914794921875,5115645
2021-06-04,2044.2596435546875,2045.7825927734375,2016.06201171875,2021.830810546875,2001.185302734375,7234323,3128.0,3156.85009765625,3125.0,3143.75,2953.88037109375,1836060,1393.949951171875,1396.9000244140625,1377.6500244140625,1385.6500244140625,1309.61083984375,4194328
2021-06-07,2032.4453125,2069.365234375,2016.7542724609375,2055.889404296875,2034.89599609375,8168286,3145.0,3190.449951171875,3133.60009765625,3183.199951171875,2990.947509765625,2559821,1391.0,1392.0,1377.300048828125,1389.6500244140625,1313.3914794921875,5154576
2021-06-08,2055.151123046875,2055.65869140625,2028.8917236328125,2044.0750732421875,2023.2022705078125,4837367,3198.0,3231.0,3187.199951171875,3200.14990234375,3006.87353515625,2574057,1396.0,1421.75,1395.550048828125,1412.949951171875,1335.4127197265625,7360630
2021-06-09,2048.13623046875,2049.982177734375,1991.787109375,2007.5242919921875,1987.0247802734375,5704580,3202.0,3220.0,3186.199951171875,3200.25,3006.9677734375,1710925,1413.4000244140625,1425.0,1404.5999755859375,1415.300048828125,1337.6337890625,5394317
2021-06-10,2024.5074462890625,2058.289306640625,2009.8779296875,2014.9083251953125,1994.3333740234375,7077826,3210.0,3224.0,3193.0,3216.800048828125,3022.51806640625,1874324,1424.0,1429.0,1419.0,1424.300048828125,1346.139892578125,3496575
2021-06-11,2014.8160400390625,2056.443359375,2012.2315673828125,2042.7366943359375,2028.9263916015625,6881389,3211.550048828125,3309.0,3211.0,3273.800048828125,3076.075439453125,3452954,1430.0999755859375,1451.5999755859375,1429.449951171875,1446.9000244140625,1367.499755859375,6140828
2021-06-14,2044.4443359375,2084.364013671875,2026.0303955078125,2072.0419921875,2058.033447265625,10166218,3279.0,3308.699951171875,3270.35009765625,3276.35009765625,3078.471923828125,1847360,1471.0,1477.0,1453.449951171875,1461.800048828125,1381.5821533203125,7132294
2021-06-15,2086.90234375,2099.73193359375,2067.796142578125,2076.749267578125,2062.708740234375,7587107,3298.0,3298.0,3251.550048828125,3262.75,3065.693115234375,1304985,1464.0,1476.0,1463.0,1473.9000244140625,1393.0181884765625,5403104
2021-06-16,2072.0419921875,2074.0263671875,2035.998779296875,2041.3060302734375,2027.50537109375,5398674,3262.10009765625,3294.699951171875,3253.0,3274.35009765625,3076.592529296875,1635552,1472.699951171875,1489.449951171875,1467.5,1480.5999755859375,1399.350341796875,7661710
2021-06-17,2030.5992431640625,2062.904296875,2012.0469970703125,2045.044189453125,2031.21826171875,7872987,3265.5,3336.050048828125,3260.0,3317.75,3117.37109375,2273413,1475.0999755859375,1502.6500244140625,1475.0999755859375,1495.300048828125,1413.2437744140625,7677951
2021-06-18,2054.1357421875,2062.904296875,2016.154296875,2054.274169921875,2040.3857421875,14684513,3350.89990234375,3358.0,3275.0,3297.300048828125,3098.156005859375,3380431,1509.0,1515.800048828125,1487.4000244140625,1503.300048828125,1420.8046875,13533974
2021-06-21,2033.829833984375,2074.441650390625,2030.73779296875,2064.98095703125,2051.020263671875,6093224,3265.0,3286.0,3251.699951171875,3273.10009765625,3075.418212890625,1130569,1493.0,1505.800048828125,1484.199951171875,1500.300048828125,1417.9693603515625,5454052
2021-06-22,2080.441162109375,2086.90234375,2048.459228515625,2054.366455078125,2040.4774169921875,6435956,3304.0,3327.050048828125,3285.0,3301.199951171875,3101.82080078125,1708688,1509.699951171875,1521.449951171875,1502.0999755859375,1511.8499755859375,1428.8853759765625,6427862
2021-06-23,2076.749267578125,2077.302978515625,2032.1683349609375,2035.537353515625,2021.775634765625,8326975,3329.0,3329.0,3256.39990234375,3261.39990234375,3064.424072265625,1467104,1525.0,1525.0,1498.6500244140625,1503.1500244140625,1420.6629638671875,5529809
2021-06-24,2036.921875,2044.0750732421875,1975.2193603515625,1987.6798095703125,1974.2415771484375,45730987,3284.0,3383.0,3278.5,3373.60009765625,3169.84814453125,4155204,1517.0,1568.75,1511.199951171875,1559.199951171875,1473.6370849609375,10785137
2021-06-25,1987.6798095703125,1987.6798095703125,1920.8546142578125,1942.4066162109375,1929.2745361328125,27677511,3375.25,3399.64990234375,3350.0,3380.800048828125,3176.61328125,2722861,1572.0,1578.0,1543.0,1574.199951171875,1487.81396484375,9780240
2021-06-28,1958.6053466796875,1962.7587890625,1920.7623291015625,1925.3773193359375,1912.3603515625,10138521,3391.5,3391.5,3333.0,3336.75,3135.22412109375,1355238,1572.9000244140625,1580.1500244140625,1560.5999755859375,1571.800048828125,1485.5458984375,5019178
2021-06-29,1928.6077880859375,1946.6063232421875,1923.6236572265625,1927.0386962890625,1914.010498046875,13572031,3342.0,3366.300048828125,3326.5,3340.85009765625,3139.076416015625,1497322,1561.0,1573.6500244140625,1559.199951171875,1563.050048828125,1477.2760009765625,5913567
2021-06-30,1934.8380126953125,1959.2052001953125,1930.0384521484375,1948.1292724609375,1934.95849609375,9881429,3346.0,3382.0,3338.5,3345.75,3143.68017578125,1693146,1572.050048828125,1591.0,1572.050048828125,1580.800048828125,1494.052001953125,6058722
2021-07-01,1954.913330078125,1959.666748046875,1933.684326171875,1936.4072265625,1923.3157958984375,6267203,3358.0,3362.0,3332.35009765625,3341.5,3139.68701171875,990310,1576.8499755859375,1576.8499755859375,1559.050048828125,1560.4000244140625,1474.7713623046875,4814317
2021-07-02,1935.5302734375,1968.666015625,1931.7921142578125,1965.1124267578125,1951.826904296875,7043310,3331.0,3339.699951171875,3295.199951171875,3325.449951171875,3124.60595703125,1682274,1558.949951171875,1569.449951171875,1542.5999755859375,1567.800048828125,1481.765380859375,5166064
2021-07-05,1971.942626953125,1987.7259521484375,1967.373779296875,1984.6339111328125,1971.21630859375,5851143,3342.0,3374.0,3302.0,3321.0,3120.4248046875,1972858,1569.1500244140625,1585.0,1561.050048828125,1578.949951171875,1492.3033447265625,4058338
2021-07-06,1979.7882080078125,1983.4339599609375,1956.9439697265625,1961.189697265625,1947.9306640625,5035062,3313.0,3328.0,3256.10009765625,3262.300048828125,3065.270263671875,2159420,1573.699951171875,1586.75,1557.0999755859375,1562.199951171875,1476.4725341796875,4089574
2021-07-07,1963.91259765625,1963.91259765625,1936.453369140625,1947.575439453125,1934.408447265625,5227446,3275.0,3282.699951171875,3241.60009765625,3274.949951171875,3077.156494140625,2640710,1566.050048828125,1570.550048828125,1544.6500244140625,1564.5999755859375,1478.74072265625,4797120
2021-07-08,1953.9442138671875,1953.9442138671875,1920.7623291015625,1931.4691162109375,1918.4110107421875,5592730,3298.0,3298.0,3231.89990234375,3258.5,3061.699462890625,2485811,1568.0,1576.0,1549.0,1560.75,1475.10205078125,3326813
2021-07-09,1927.2232666015625,1930.638427734375,1907.0096435546875,1911.7169189453125,1898.7923583984375,4518837,3250.0,3282.0,3201.0,3208.14990234375,3014.390869140625,6365067,1556.0,1569.9000244140625,1551.0,1562.9000244140625,1477.1341552734375,3436594
2021-07-12,1919.6085205078125,1939.683837890625,1914.7628173828125,1923.6236572265625,1910.61865234375,4292646,3235.0,3236.0,3188.35009765625,3193.10009765625,3000.249267578125,1892226,1570.550048828125,1578.0,1533.75,1547.8499755859375,1462.91015625,4588982
2021-07-13,1938.29931640625,1941.114501953125,1927.26953125,1938.0224609375,1924.9200439453125,3358566,3214.0,3214.0,3175.0,3187.550048828125,2995.03466796875,1809339,1556.4000244140625,1556.4000244140625,1536.300048828125,1544.949951171875,1460.1690673828125,4456160
2021-07-14,1938.622314453125,1944.621826171875,1920.9930419921875,1925.3773193359375,1912.3603515625,4266272,3187.0,3222.0,3185.0,3214.550048828125,3020.40380859375,2044279,1554.0,1582.800048828125,1538.0999755859375,1576.9000244140625,1490.365966796875,5657716
2021-07-15,1933.684326171875,1933.684326171875,1918.454833984375,1922.0084228515625,1909.0142822265625,4724178,3227.60009765625,3231.85009765625,3194.0,3202.949951171875,3016.07275390625,2232968,1557.9000244140625,1596.8499755859375,1556.0,1580.800048828125,1494.052001953125,10021355
2021-07-16,1926.9925537109375,1951.91357421875,1926.8541259765625,1949.7445068359375,1936.5628662109375,4414092,3213.0,3219.85009765625,3192.0,3194.800048828125,3008.39794921875,1256526,1573.75,1574.6500244140625,1549.5999755859375,1555.449951171875,1470.0928955078125,6265593
2021-07-19,1938.29931640625,1960.4512939453125,1931.1461181640625,1937.3302001953125,1924.232421875,4177224,3180.0,3199.800048828125,3176.0,3184.60009765625,2998.793212890625,1597058,1544.699951171875,1552.9000244140625,1537.550048828125,1541.699951171875,1457.0972900390625,5669162
2021-07-20,1937.8377685546875,1945.683349609375,1923.5313720703125,1932.57666015625,1919.510986328125,3370732,3184.60009765625,3215.0,3156.14990234375,3205.800048828125,3018.756103515625,1811945,1538.300048828125,1557.699951171875,1538.0,1550.050048828125,1464.9892578125,5069939
2021-07-22,1955.8363037109375,1960.3590087890625,1936.591796875,1957.4053955078125,1944.171875,3986198,3190.0,3224.949951171875,3190.0,3216.35009765625,3028.69091796875,2859334,1561.4000244140625,1592.8499755859375,1561.4000244140625,1590.199951171875,1502.935791015625,7854575
2021-07-23,1970.0966796875,1970.0966796875,1940.19140625,1943.5604248046875,1930.420654296875,4968515,3230.0,3241.550048828125,3206.64990234375,3212.85009765625,3025.394775390625,1776193,1588.550048828125,1598.5,1585.050048828125,1590.449951171875,1503.17236328125,4179719
2021-07-26,1945.683349609375,1957.6822509765625,1911.6246337890625,1916.931884765625,1903.9720458984375,6194834,3200.0,3224.25,3190.85009765625,3197.550048828125,3010.987548828125,1259611,1594.0999755859375,1611.6500244140625,1594.0999755859375,1603.9000244140625,1515.88427734375,4586710
2021-07-27,1916.8857421875,1923.25439453125,1884.765380859375,1896.7642822265625,1883.9407958984375,5412261,3200.0,3210.0,3161.14990234375,3182.949951171875,2997.2392578125,1121367,1605.0,1609.300048828125,1597.9000244140625,1602.550048828125,1514.6083984375,5892859
2021-07-28,1899.5333251953125,1899.5333251953125,1860.998046875,1880.473388671875,1867.7601318359375,6448924,3188.0,3204.449951171875,3132.39990234375,3197.800048828125,3011.22314453125,1660654,1605.0999755859375,1607.5999755859375,1585.5,1605.5999755859375,1517.4908447265625,4686788
2021-07-29,1895.84130859375,1914.6705322265625,1886.0574951171875,1895.1490478515625,1882.3365478515625,6882869,3200.25,3225.449951171875,3190.300048828125,3195.800048828125,3009.339599609375,1731997,1600.0999755859375,1620.0,1600.0999755859375,1617.0,1528.265380859375,4660873
2021-07-30,1899.5333251953125,1908.7171630859375,1874.70458984375,1878.581298828125,1865.8807373046875,5675304,3219.0,3223.5,3162.35009765625,3167.449951171875,2982.64404296875,2999943,1610.0,1623.4000244140625,1606.1500244140625,1610.5,1522.1221923828125,6234257
2021-08-02,1896.1182861328125,1919.2855224609375,1883.9808349609375,1912.9168701171875,1899.984130859375,5462552,3180.0,3224.89990234375,3167.0,3219.39990234375,3031.5625,2608669,1627.449951171875,1634.75,1619.199951171875,1631.550048828125,1542.0169677734375,5553389
2021-08-03,1929.0693359375,1929.9923095703125,1905.2559814453125,1926.9925537109375,1913.9647216796875,5908649,3229.0,3290.0,3218.949951171875,3284.89990234375,3093.240966796875,3804735,1647.0,1658.6500244140625,1635.5999755859375,1655.199951171875,1564.3690185546875,5513668
2021-08-04,1933.1304931640625,1951.2213134765625,1926.30029296875,1941.7606201171875,1928.6329345703125,6584900,3300.0,3305.199951171875,3261.199951171875,3273.949951171875,3082.93017578125,2929598,1669.0999755859375,1679.9000244140625,1639.050048828125,1649.25,1558.74560546875,6740391
2021-08-05,1951.4981689453125,1988.879638671875,1942.2220458984375,1969.912109375,1956.5941162109375,10626039,3275.0,3315.0,3262.5,3283.949951171875,3092.346435546875,2534521,1649.5,1666.0,1647.050048828125,1653.550048828125,1562.8096923828125,5420536
2021-08-06,1965.943115234375,1981.6341552734375,1918.685546875,1928.1925048828125,1915.1566162109375,8310493,3272.550048828125,3324.0,3265.0,3309.800048828125,3116.6884765625,2292362,1657.0,1660.6500244140625,1644.0,1650.199951171875,1559.6434326171875,3754855
2021-08-09,1920.7623291015625,1928.884765625,1907.3787841796875,1917.208740234375,1904.2469482421875,3747071,3323.89990234375,3337.0,3310.0,3322.699951171875,3128.835693359375,1510489,1661.0,1667.449951171875,1646.4000244140625,1663.300048828125,1572.0245361328125,5018477
2021-08-10,1921.685302734375,1950.29833984375,1914.070556640625,1927.26953125,1914.23974609375,5959599,3315.60009765625,3349.89990234375,3315.60009765625,3333.89990234375,3139.382080078125,2040777,1668.0,1680.0,1661.050048828125,1677.25,1585.208984375,6846517
2021-08-11,1935.484130859375,1956.75927734375,1922.9775390625,1954.2672119140625,1941.054931640625,4592481,3350.0,3360.0,3327.10009765625,3344.199951171875,3149.0810546875,1929707,1674.800048828125,1684.0,1668.0,1677.550048828125,1585.4927978515625,4899639
2021-08-12,1961.281982421875,1962.48193359375,1942.914306640625,1947.9908447265625,1934.821044921875,4068806,3326.0,3368.0,3326.0,3351.75,3156.1904296875,1310205,1679.1500244140625,1696.5,1674.0,1689.5999755859375,1596.8814697265625,5659579
2021-08-13,1954.2672119140625,1984.3570556640625,1946.5601806640625,1980.4342041015625,1967.0450439453125,6390450,3360.75,3480.0,3357.5,3463.39990234375,3261.326171875,4363584,1697.0,1722.5,1691.300048828125,1712.199951171875,1618.2410888671875,5612790
2021-08-16,1983.849365234375,2033.3682861328125,1964.28173828125,2006.1397705078125,1992.5767822265625,10967722,3460.0,3494.35009765625,3436.5,3472.949951171875,3270.3193359375,2083489,1707.699951171875,1719.949951171875,1690.0999755859375,1704.4000244140625,1610.869140625,4564109
2021-08-17,2001.847900390625,2016.9388427734375,1982.46484375,1997.60205078125,1984.0968017578125,6329084,3482.10009765625,3560.800048828125,3463.0,3553.050048828125,3345.74560546875,4336019,1703.9000244140625,1748.9000244140625,1686.550048828125,1741.6500244140625,1646.0750732421875,9510390
2021-08-18,2006.601318359375,2018.4156494140625,1986.84912109375,2005.355224609375,1991.797607421875,5037930,3573.85009765625,3595.0,3536.60009765625,3560.550048828125,3352.808349609375,2631309,1729.0,1755.5,1727.0,1733.449951171875,1638.324951171875,6686090
