"SYMBOL","PREV. CLOSE ","IEP","CHNG","%CHNG","FINAL ","FINAL QUANTITY ","VALUE (₹ Crores)","FFM CAP (₹ Crores)","NM 52W H ","NM 52W L "
"AJOONI-RE1","0.35","0.35","0.05","16.67","-","-","-","-","0.90","0.25"
"AGARIND","885.25","1,008.65","123.40","13.94","1,008.65","5,456","0.55","-","1,155.00","585.50"
"KRISHCA","226.00","254.00","28.00","12.39","254.00","3,000","0.08","-","305.00","119.00"
"OAL","346.35","388.55","42.20","12.18","388.55","3,704","0.14","-","503.20","293.00"
"ENSER","133.80","147.15","13.35","9.98","147.15","20,000","0.29","-","147.15","62.00"
"KRISHNADEF","546.50","593.20","46.70","8.55","593.20","16,500","0.98","-","648.80","170.85"
"TERASOFT","61.80","67.00","5.20","8.41","67.00","57,104","0.38","-","82.50","39.65"
"INVENTURE","2.45","2.65","0.20","8.16","2.65","3,17,005","0.08","-","3.90","1.80"
"SMSLIFE","696.30","751.35","55.05","7.91","751.35","1,786","0.13","-","835.55","472.05"
"EXCEL","0.65","0.70","0.05","7.69","0.70","14,99,521","0.10","-","0.70","0.30"
"NDL","37.45","40.15","2.70","7.21","40.15","56,331","0.23","-","48.60","18.50"
"VPRPL","174.55","187.10","12.55","7.19","187.10","2,93,823","5.50","-","242.00","141.00"
"NATCOPHARM","1,029.40","1,100.00","70.60","6.86","1,100.00","61,728","6.79","-","1,108.35","615.50"
"AUSOMENT","115.80","116.90","7.40","6.76","-","-","-","-","133.90","59.00"
"OMFURN","73.00","77.10","4.10","5.62","77.10","2,400","0.02","-","98.70","37.25"
"GODHA","0.90","0.95","0.05","5.56","0.95","10,42,369","0.10","-","1.50","0.45"
"SBC","29.80","31.45","1.65","5.54","31.45","82,200","0.26","-","33.85","12.43"
"AHLADA","151.80","160.00","8.20","5.40","160.00","54,958","0.88","-","167.35","90.65"
"OBCL","57.00","60.00","3.00","5.26","60.00","12,808","0.08","-","79.40","45.00"
"ASHIMASYN","28.55","30.00","1.45","5.08","30.00","4,02,793","1.21","-","33.95","12.50"
"BCG","10.00","10.50","0.50","5.00","10.50","15,98,281","1.68","-","36.45","8.65"
"JITFINFRA","857.20","900.05","42.85","5.00","900.05","2,224","0.20","-","900.05","194.60"
"INDOTECH","1,684.40","1,768.60","84.20","5.00","1,768.60","217","0.04","-","2,005.95","325.15"
"PRATHAM","473.15","496.80","23.65","5.00","496.80","19,200","0.95","-","496.80","96.00"
"E2E","1,073.65","1,127.30","53.65","5.00","1,127.30","553","0.06","-","1,248.00","160.60"
"NIRAJ","46.05","48.35","2.30","4.99","48.35","1,123","0.01","-","65.00","28.85"
