,PREV. CLOSE,IEP,CHNG,%CHNG,FINAL,FINAL QUANTITY,VALUE (₹ Crores),FFM CAP (₹ Crores),NM 52W H,NM 52W L
RELIANCE,2849.699951171875,2849.699951171875,-21.300048828125,-0.7419034771203413,2849.699951171875,6590260,1878.026360020996,N/A,3014.800048828125,2226.5
TCS,3736.10009765625,3736.10009765625,-40.89990234375,-1.0828674170969024,3736.10009765625,2916028,1089.457249556836,N/A,4188.80517578125,3121.23876953125
HDFCBANK,1514.8499755859375,1514.8499755859375,15.6500244140625,1.0438917371781793,1514.8499755859375,16873104,2556.0221182458986,N/A,1704.9185791015625,1365.40478515625
ICICIBANK,1113.699951171875,1113.699951171875,16.699951171875,1.5223291861326345,1113.699951171875,15237158,1696.9622120598144,N/A,1160.1500244140625,908.6500244140625
BHARTIARTL,1377.1500244140625,1377.1500244140625,-1.6500244140625,-0.11967104406943523,1377.1500244140625,7093610,976.8965184683838,N/A,1388.5,814.7077026367188
SBIN,825.8499755859375,825.8499755859375,4.449951171875,0.5417520135879382,825.8499755859375,17808695,1470.7310330967407,N/A,833.7000122070312,537.978271484375
INFY,1427.449951171875,1427.449951171875,-15.35009765625,-1.0639102534490277,1427.449951171875,9652613,1377.8621955531005,N/A,1729.449951171875,1248.8355712890625
LICI,993.2999877929688,993.2999877929688,-3.20001220703125,-0.3211251587587807,993.2999877929688,1852597,184.01845774852904,N/A,1101.0078125,590.03466796875
ITC,423.8500061035156,423.8500061035156,-4.649993896484375,-1.085179439086202,423.8500061035156,20514477,869.506120166043,N/A,485.0264892578125,403.3500061035156
HINDUNILVR,2351.39990234375,2351.39990234375,-16.60009765625,-0.7010176375105575,2351.39990234375,1834945,431.46894938061524,N/A,2737.026123046875,2194.050048828125
LT,3634.699951171875,3634.699951171875,8.64990234375,0.2385488955549716,3634.699951171875,2700982,981.7259143516113,N/A,3838.0,2200.687255859375
BAJFINANCE,6616.4501953125,6616.4501953125,-163.44970703125,-2.4107982327990847,6616.4501953125,1154500,763.8691750488281,N/A,8168.5498046875,6311.25
HCLTECH,1331.8499755859375,1331.8499755859375,-14.1500244140625,-1.0512648153092496,1331.8499755859375,4149326,552.6279731798096,N/A,1664.060302734375,1066.25634765625
MARUTI,12598.0,12598.0,-123.0,-0.9669051175222074,12598.0,524536,660.8104528,N/A,13000.4501953125,9240.34375
SUNPHARMA,1459.0999755859375,1459.0999755859375,-16.9000244140625,-1.1449881039337737,1459.0999755859375,3130596,456.78525471694337,N/A,1629.25,950.7980346679688
ADANIENT,3194.25,3194.25,-59.75,-1.8362015980331898,3194.25,1988511,635.180126175,N/A,3387.300048828125,2149.85009765625
KOTAKBANK,1690.0999755859375,1690.0999755859375,5.75,0.34137798458421553,1690.0999755859375,5579340,942.9642397785644,N/A,2012.6927490234375,1546.699951171875
TITAN,3271.85009765625,3271.85009765625,-93.14990234375,-2.7681991781203568,3271.85009765625,2364479,773.6220847056152,N/A,3866.64990234375,2793.449462890625
ONGC,266.70001220703125,266.70001220703125,-6.29998779296875,-2.3076878362522892,266.70001220703125,15364737,409.7775545457825,N/A,286.1000061035156,146.6190185546875
TATAMOTORS,923.9500122070312,923.9500122070312,-19.54998779296875,-2.0720707782690777,923.9500122070312,10163351,939.0428280514343,N/A,1046.6500244140625,517.1880493164062
NTPC,359.70001220703125,359.70001220703125,-4.29998779296875,-1.1813153277386677,359.70001220703125,14412799,518.4283976237488,N/A,374.95001220703125,168.1691436767578
AXISBANK,1167.949951171875,1167.949951171875,12.75,1.1037050328011144,1167.949951171875,7227407,844.1249652749268,N/A,1187.0,913.9173583984375
DMART,4444.9501953125,4444.9501953125,-30.94970703125,-0.691474512534196,4444.9501953125,141528,62.90849112421875,N/A,4806.75,3471.25
ADANIGREEN,1874.9000244140625,1874.9000244140625,0.9000244140625,0.048026916438767345,1874.9000244140625,668336,125.30631827167969,N/A,1979.5,848.1500244140625
ADANIPORTS,1383.5,1383.5,-26.5,-1.8794326241134751,1383.5,3477870,481.1633145,N/A,1443.3499755859375,709.530029296875
ULTRACEMCO,9868.849609375,9868.849609375,-152.150390625,-1.5183154438179822,9868.849609375,323409,319.1674783318359,N/A,10503.0498046875,7807.1181640625
ASIANPAINT,2883.699951171875,2883.699951171875,8.449951171875,0.29388578982262414,2883.699951171875,1344303,387.6566495460205,N/A,3537.524658203125,2710.10009765625
COALINDIA,482.1499938964844,482.1499938964844,-3.850006103515625,-0.7921823258262604,482.1499938964844,7724879,372.45503627010805,N/A,501.70001220703125,208.37051391601562
BAJAJFINSV,1524.0999755859375,1524.0999755859375,-42.6500244140625,-2.7221971861536622,1524.0999755859375,2283499,348.0280770150513,N/A,1733.1500244140625,1449.38623046875
BAJAJ-AUTO,8968.5,8968.5,-99.5,-1.0972651080723423,8968.5,305044,273.5787114,N/A,9276.099609375,4431.5771484375
POWERGRID,306.70001220703125,306.70001220703125,-7.899993896484375,-2.511123249592363,306.70001220703125,22750942,697.771418912146,N/A,325.75,165.37486267089844
NESTLEIND,2404.800048828125,2404.800048828125,-60.25,-2.444169441048169,2404.800048828125,1273806,306.32487309975585,N/A,2729.53564453125,2138.944580078125
WIPRO,436.95001220703125,436.95001220703125,-12.04998779296875,-2.6837389293917036,436.95001220703125,10358519,452.6155003496765,N/A,543.0,377.4450378417969
M&M,2493.5,2493.5,-24.5,-0.9729944400317712,2493.5,3366250,839.3744375,N/A,2609.199951171875,1305.2220458984375
IOC,161.9499969482422,161.9499969482422,-2.75,-1.6697025203128582,161.9499969482422,13937717,225.72132256154632,N/A,192.39999389648438,82.01349639892578
JIOFIN,347.75,347.75,-1.0,-0.2867383512544803,347.75,9865814,343.08368185,N/A,387.95001220703125,206.60000610351562
HAL,4976.25,4976.25,-85.7998046875,-1.694961685443092,4976.25,2746765,1366.858933125,N/A,5166.64990234375,1523.47021484375
DLF,802.0499877929688,802.0499877929688,-13.95001220703125,-1.709560319489124,802.0499877929688,4197702,336.67668378585205,N/A,948.25,470.88348388671875
ADANIPOWER,698.4000244140625,698.4000244140625,20.5,3.024044735463612,698.4000244140625,8140045,568.5007626731567,N/A,711.3499755859375,237.1999969482422
JSWSTEEL,883.7000122070312,883.7000122070312,-16.29998779296875,-1.8111097547743056,883.7000122070312,3992990,352.86053117425536,N/A,923.4500122070312,690.9396362304688
TATASTEEL,164.14999389648438,164.14999389648438,-7.850006103515625,-4.563957036927689,164.14999389648438,108774347,1785.5308396144073,N/A,175.5,102.45601654052734
SIEMENS,6984.64990234375,6984.64990234375,-19.35009765625,-0.2762720967482867,6984.64990234375,278733,194.68524212299803,N/A,7371.64990234375,3317.92578125
IRFC,176.60000610351562,176.60000610351562,-3.6999969482421875,-2.052133602671126,176.60000610351562,43570686,769.4583413534363,N/A,186.5,31.18794822692871
VBL,1438.800048828125,1438.800048828125,7.0,0.4888950804079969,1438.800048828125,1382821,198.96029223205565,N/A,1534.948974609375,764.3246459960938
ZOMATO,180.60000610351562,180.60000610351562,-2.399993896484375,-1.3114720745816257,180.60000610351562,33671707,608.111048971579,N/A,201.3000030517578,66.8499984741211
PIDILITIND,2998.800048828125,2998.800048828125,-31.0,-1.0231698297051077,2998.800048828125,424303,127.23998571179199,N/A,3051.550048828125,2295.39990234375
GRASIM,2345.199951171875,2345.199951171875,-58.800048828125,-2.4459254920185107,2345.199951171875,826378,193.80216452495117,N/A,2481.35009765625,1686.44287109375
SBILIFE,1380.050048828125,1380.050048828125,-38.75,-2.731181185961054,1380.050048828125,2097105,289.4109857647705,N/A,1549.7662353515625,1200.3438720703125
BEL,290.6499938964844,290.6499938964844,-2.350006103515625,-0.8020498646811006,290.6499938964844,42759928,1242.8172812214111,N/A,297.20001220703125,109.92984008789062
LTIM,4773.14990234375,4773.14990234375,-76.80029296875,-1.5835274564876531,4773.14990234375,392630,187.40818461572266,N/A,6294.9501953125,4593.5498046875
TRENT,4651.35009765625,4651.35009765625,-17.75,-0.38015890918487644,4651.35009765625,523169,243.34421792407227,N/A,4715.39990234375,1557.281494140625
PNB,127.44999694824219,127.44999694824219,-0.5500030517578125,-0.429689884185791,127.44999694824219,26975691,343.80517356267245,N/A,141.0500030517578,49.75764846801758
INDIGO,4162.2001953125,4162.2001953125,122.150146484375,3.023481021474138,4162.2001953125,2190585,911.7653314848633,N/A,4400.5,2340.0
BANKBARODA,262.8500061035156,262.8500061035156,1.100006103515625,0.4202506603689112,262.8500061035156,9839958,258.64330203583376,N/A,282.54998779296875,178.09104919433594
HDFCLIFE,550.75,550.75,-2.0,-0.3618272274988693,550.75,6311556,347.6089467,N/A,707.3499755859375,539.5499877929688
ABB,8264.650390625,8264.650390625,122.3505859375,1.5026539045769733,8264.650390625,319841,264.33740455878905,N/A,8549.2998046875,3916.501220703125
BPCL,625.75,625.75,-8.29998779296875,-1.3090431279495394,625.75,4821472,301.7036104,N/A,657.5999755859375,319.8394775390625
