,PREV. CLOSE,IEP,CHNG,%CHNG,FINAL,FINAL QUANTITY,VALUE (₹ Crores),FFM CAP (₹ Crores),NM 52W H,NM 52W L
RELIANCE,2852.800048828125,2852.800048828125,-18.199951171875,-0.6339237607758621,2852.800048828125,6439182,1836.9698724013183,N/A,3024.9,2220.3
TCS,3731.85009765625,3731.85009765625,-45.14990234375,-1.1953905836311889,3731.85009765625,2857455,1066.359372079834,N/A,4254.75,3156.0
HDFCBANK,1517.5999755859375,1517.5999755859375,18.4000244140625,1.2273229064395186,1517.5999755859375,16490198,2502.5524082207276,N/A,1757.5,1363.55
ICICIBANK,1116.949951171875,1116.949951171875,19.949951171875,1.818591720316773,1116.949951171875,15005380,1676.025845831543,N/A,1169.55,899.0
BHARTIARTL,1377.8499755859375,1377.8499755859375,-0.9500732421875,-0.06890580276632496,1377.8499755859375,6985710,962.5260352950439,N/A,1407.0,819.0
SBIN,828.0499877929688,828.0499877929688,6.64996337890625,0.8095888947227552,828.0499877929688,17527662,1451.3780305139283,N/A,841.25,543.2
INFY,1429.800048828125,1429.800048828125,-13.0,-0.9010257527062668,1429.800048828125,9459320,1352.4936197880859,N/A,1733.0,1262.25
LICI,993.6500244140625,993.6500244140625,-2.8499755859375,-0.28599855353110887,993.6500244140625,1806882,179.540834341333,N/A,1175.0,593.95
ITC,424.29998779296875,424.29998779296875,-4.20001220703125,-0.980166209342182,424.29998779296875,20158619,855.3301795623108,N/A,499.7,399.35
HINDUNILVR,2347.199951171875,2347.199951171875,-20.800048828125,-0.8783804403769003,2347.199951171875,1780278,417.8668434672363,N/A,2769.65,2172.05
LT,3636.14990234375,3636.14990234375,10.099853515625,0.27853596557193394,3636.14990234375,2642773,960.95187858667,N/A,3860.0,2202.15
BAJFINANCE,6616.89990234375,6616.89990234375,-163.0,-2.4041652878039157,6616.89990234375,1135645,751.4449289597168,N/A,8192.0,6187.8
HCLTECH,1331.949951171875,1331.949951171875,-14.050048828125,-1.0438372086274146,1331.949951171875,4080136,543.453694597461,N/A,1697.35,1087.05
MARUTI,12585.849609375,12585.849609375,-135.150390625,-1.0624195474019338,12585.849609375,513589,646.3953915029297,N/A,13073.95,9222.0
SUNPHARMA,1459.699951171875,1459.699951171875,-16.300048828125,-1.1043393514989837,1459.699951171875,3079302,449.4856979043457,N/A,1638.85,975.0
ADANIENT,3196.75,3196.75,-57.25,-1.7593730792870312,3196.75,1940292,620.2628451,N/A,3457.85,2142.0
KOTAKBANK,1693.0999755859375,1693.0999755859375,8.75,0.5194882374107628,1693.0999755859375,5493578,930.1176777679443,N/A,1987.75,1543.85
TITAN,3270.949951171875,3270.949951171875,-94.050048828125,-2.7949494451151558,3270.949951171875,2275695,744.368444913208,N/A,3886.95,2814.7
ONGC,266.54998779296875,266.54998779296875,-6.45001220703125,-2.362641834077381,266.54998779296875,15010982,400.11770688604736,N/A,292.95,152.55
TATAMOTORS,924.7999877929688,924.7999877929688,-18.70001220703125,-1.981983275784976,924.7999877929688,9847591,910.7052036590148,N/A,1065.6,522.85
NTPC,361.0,361.0,-3.0,-0.8241758241758242,361.0,13970298,504.3277578,N/A,380.5,171.85
AXISBANK,1169.9000244140625,1169.9000244140625,14.7000732421875,1.2725133192115559,1169.9000244140625,7119061,832.8589637705201,N/A,1196.0,916.05
DMART,4443.9501953125,4443.9501953125,-31.94970703125,-0.7138163883986754,4443.9501953125,135672,60.29196108984375,N/A,4924.2,3473.0
ADANIGREEN,1879.0,1879.0,5.0,0.26680896478121663,1879.0,649266,121.9970814,N/A,2018.95,815.55
ADANIPORTS,1386.5,1386.5,-23.5,-1.6666666666666667,1386.5,3423885,474.72165525,N/A,1457.05,703.0
ULTRACEMCO,9837.349609375,9837.349609375,-183.650390625,-1.8326553300568804,9837.349609375,317821,312.6516290201172,N/A,10526.0,7809.8
ASIANPAINT,2882.35009765625,2882.35009765625,7.10009765625,0.24693844556995045,2882.35009765625,1326421,382.32096988833007,N/A,3568.0,2670.1
COALINDIA,483.1000061035156,483.1000061035156,-2.899993896484375,-0.5967065630626286,483.1000061035156,7570203,365.7165115504852,N/A,507.35,223.25
