target1,target2,combo_pair,target1_count,combo_conut,affinity_score
69,98,69_98,1281,87,0.0679
69,13,69_13,1281,86,0.0671
69,100,69_100,1281,83,0.0648
69,14,69_14,1281,80,0.0625
69,8,69_8,1281,79,0.0617
69,28,69_28,1281,78,0.0609
69,80,69_80,1281,78,0.0609
69,76,69_76,1281,77,0.0601
69,38,69_38,1281,77,0.0601
69,52,69_52,1281,76,0.0593
69,30,69_30,1281,76,0.0593
69,18,69_18,1281,76,0.0593
69,27,69_27,1281,75,0.0585
69,79,69_79,1281,75,0.0585
69,65,69_65,1281,74,0.0578
69,35,69_35,1281,74,0.0578
69,36,69_36,1281,74,0.0578
69,75,69_75,1281,74,0.0578
69,88,69_88,1281,74,0.0578
69,26,69_26,1281,73,0.0570
69,73,69_73,1281,72,0.0562
69,93,69_93,1281,72,0.0562
69,45,69_45,1281,72,0.0562
69,72,69_72,1281,71,0.0554
69,97,69_97,1281,71,0.0554
69,7,69_7,1281,70,0.0546
69,78,69_78,1281,70,0.0546
69,55,69_55,1281,70,0.0546
69,56,69_56,1281,70,0.0546
69,92,69_92,1281,70,0.0546
69,20,69_20,1281,69,0.0539
69,82,69_82,1281,69,0.0539
69,77,69_77,1281,69,0.0539
69,31,69_31,1281,69,0.0539
69,83,69_83,1281,69,0.0539
69,29,69_29,1281,69,0.0539
69,81,69_81,1281,68,0.0531
69,64,69_64,1281,68,0.0531
69,60,69_60,1281,68,0.0531
69,74,69_74,1281,68,0.0531
69,94,69_94,1281,68,0.0531
69,24,69_24,1281,68,0.0531
69,48,69_48,1281,68,0.0531
69,12,69_12,1281,67,0.0523
69,58,69_58,1281,67,0.0523
69,63,69_63,1281,67,0.0523
69,47,69_47,1281,67,0.0523
69,84,69_84,1281,67,0.0523
69,67,69_67,1281,67,0.0523
69,99,69_99,1281,67,0.0523
69,34,69_34,1281,66,0.0515
69,41,69_41,1281,66,0.0515
69,89,69_89,1281,65,0.0507
69,91,69_91,1281,65,0.0507
69,44,69_44,1281,65,0.0507
69,51,69_51,1281,65,0.0507
69,50,69_50,1281,65,0.0507
69,15,69_15,1281,65,0.0507
69,90,69_90,1281,65,0.0507
69,32,69_32,1281,64,0.0500
69,62,69_62,1281,64,0.0500
69,49,69_49,1281,64,0.0500
69,21,69_21,1281,64,0.0500
69,17,69_17,1281,64,0.0500
69,59,69_59,1281,64,0.0500
69,46,69_46,1281,64,0.0500
69,95,69_95,1281,64,0.0500
69,6,69_6,1281,63,0.0492
69,9,69_9,1281,63,0.0492
69,96,69_96,1281,63,0.0492
69,43,69_43,1281,63,0.0492
69,2,69_2,1281,62,0.0484
69,23,69_23,1281,62,0.0484
69,25,69_25,1281,62,0.0484
69,71,69_71,1281,62,0.0484
69,40,69_40,1281,62,0.0484
