member_id,membership,reward_discount,member_discount,added_prime_discount
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,-,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,-,10%,-
1001,gold,10%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,-,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,-,10%,-
1001,gold,10%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,-,10%,-
1001,gold,5%,10%,-
1001,gold,-,10%,-
1001,gold,-,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,-,10%,-
1001,gold,-,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,-,10%,-
1001,gold,-,10%,-
1001,gold,-,10%,-
1001,gold,5%,10%,-
1001,gold,-,10%,-
1001,gold,5%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,10%,10%,-
1001,gold,-,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,15%,10%,-
1001,gold,5%,10%,-
1001,gold,10%,10%,-
1001,gold,10%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,10%,10%,-
1001,gold,-,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,15%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,-,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,10%,10%,-
1001,gold,10%,10%,-
1001,gold,10%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1001,gold,5%,10%,-
1002,gold,10%,10%,-
1002,gold,5%,10%,-
1002,gold,-,10%,-
1002,gold,5%,10%,-
1002,gold,5%,10%,-
1002,gold,-,10%,-
1002,gold,5%,10%,-
1002,gold,5%,10%,-
1002,gold,-,10%,-
