member_id,product_id,trip_count,reward_points,reward_title
1001,36,2,0.1111,BRONZE
1001,21,2,0.1111,BRONZE
1001,51,6,0.5556,GOLD
1001,57,8,0.7778,GOLD
1001,3,3,0.2222,SILVER 
1001,5,6,0.5556,GOLD
1001,12,2,0.1111,BRONZE
1001,55,1,0.0000,BRONZE
1001,71,4,0.3333,SILVER 
1001,94,6,0.5556,GOLD
1001,38,6,0.5556,GOLD
1001,65,5,0.4444,SILVER 
1001,68,2,0.1111,BRONZE
1001,88,4,0.3333,SILVER 
1001,90,7,0.6667,GOLD
1001,13,2,0.1111,BRONZE
1001,82,2,0.1111,BRONZE
1001,79,2,0.1111,BRONZE
1001,43,3,0.2222,SILVER 
1001,52,4,0.3333,SILVER 
1001,98,2,0.1111,BRONZE
1001,33,2,0.1111,BRONZE
1001,50,5,0.4444,SILVER 
1001,97,3,0.2222,SILVER 
1001,26,3,0.2222,SILVER 
1001,60,3,0.2222,SILVER 
1001,17,4,0.3333,SILVER 
1001,44,6,0.5556,GOLD
1001,2,3,0.2222,SILVER 
1001,72,6,0.5556,GOLD
1001,53,6,0.5556,GOLD
1001,19,5,0.4444,SILVER 
1001,23,1,0.0000,BRONZE
1001,63,2,0.1111,BRONZE
1001,20,1,0.0000,BRONZE
1001,74,2,0.1111,BRONZE
1001,58,4,0.3333,SILVER 
1001,47,1,0.0000,BRONZE
1001,9,1,0.0000,BRONZE
1001,4,5,0.4444,SILVER 
1001,14,3,0.2222,SILVER 
1001,24,4,0.3333,SILVER 
1001,31,6,0.5556,GOLD
1001,42,4,0.3333,SILVER 
1001,48,4,0.3333,SILVER 
1001,49,3,0.2222,SILVER 
1001,54,6,0.5556,GOLD
1001,85,9,0.8889,PLATINUM 
1001,99,5,0.4444,SILVER 
1001,6,4,0.3333,SILVER 
1001,7,4,0.3333,SILVER 
1001,10,4,0.3333,SILVER 
1001,22,5,0.4444,SILVER 
1001,35,5,0.4444,SILVER 
1001,77,2,0.1111,BRONZE
1001,91,5,0.4444,SILVER 
1001,95,5,0.4444,SILVER 
1001,100,3,0.2222,SILVER 
1001,8,4,0.3333,SILVER 
1001,61,4,0.3333,SILVER 
1001,73,4,0.3333,SILVER 
1001,75,7,0.6667,GOLD
1001,1,3,0.2222,SILVER 
1001,37,6,0.5556,GOLD
1001,41,7,0.6667,GOLD
1001,66,4,0.3333,SILVER 
1001,83,6,0.5556,GOLD
1001,16,5,0.4444,SILVER 
1001,62,3,0.2222,SILVER 
1001,86,4,0.3333,SILVER 
1001,92,4,0.3333,SILVER 
1001,93,6,0.5556,GOLD
1001,11,5,0.4444,SILVER 
1001,15,5,0.4444,SILVER 
1001,27,4,0.3333,SILVER 
1001,34,4,0.3333,SILVER 
1001,39,5,0.4444,SILVER 
1001,84,4,0.3333,SILVER 
1001,29,3,0.2222,SILVER 
1001,96,4,0.3333,SILVER 
1001,32,6,0.5556,GOLD
1001,81,2,0.1111,BRONZE
1001,87,5,0.4444,SILVER 
1001,28,4,0.3333,SILVER 
1001,67,6,0.5556,GOLD
1001,30,4,0.3333,SILVER 
1001,45,4,0.3333,SILVER 
1001,59,10,1.0000,PLATINUM 
1001,25,4,0.3333,SILVER 
1001,40,5,0.4444,SILVER 
1001,70,3,0.2222,SILVER 
1001,76,5,0.4444,SILVER 
1001,89,2,0.1111,BRONZE
1001,18,8,0.7778,GOLD
1001,46,5,0.4444,SILVER 
1001,56,6,0.5556,GOLD
1001,64,4,0.3333,SILVER 
1001,78,4,0.3333,SILVER 
1001,80,2,0.1111,BRONZE
1002,15,8,0.6364,GOLD
1002,21,8,0.6364,GOLD
1002,23,4,0.2727,SILVER 
1002,31,3,0.1818,BRONZE
1002,66,7,0.5455,GOLD
1002,77,1,0.0000,BRONZE
1002,78,5,0.3636,SILVER 
1002,11,5,0.3636,SILVER 
1002,59,7,0.5455,GOLD
1002,41,4,0.2727,SILVER 
1002,50,12,1.0000,PLATINUM 
1002,4,4,0.2727,SILVER 
1002,34,4,0.2727,SILVER 
1002,57,5,0.3636,SILVER 
1002,60,3,0.1818,BRONZE
1002,82,2,0.0909,BRONZE
1002,95,6,0.4545,SILVER 
1002,14,4,0.2727,SILVER 
1002,25,4,0.2727,SILVER 
1002,26,4,0.2727,SILVER 
1002,51,6,0.4545,SILVER 
1002,84,2,0.0909,BRONZE
1002,100,4,0.2727,SILVER 
1002,1,5,0.3636,SILVER 
1002,9,5,0.3636,SILVER 
1002,44,6,0.4545,SILVER 
1002,92,4,0.2727,SILVER 
1002,98,8,0.6364,GOLD
1002,29,1,0.0000,BRONZE
1002,53,3,0.1818,BRONZE
1002,12,4,0.2727,SILVER 
1002,20,4,0.2727,SILVER 
1002,33,7,0.5455,GOLD
1002,88,2,0.0909,BRONZE
1002,89,3,0.1818,BRONZE
1002,81,4,0.2727,SILVER 
1002,2,6,0.4545,SILVER 
1002,52,3,0.1818,BRONZE
1002,68,1,0.0000,BRONZE
1002,70,3,0.1818,BRONZE
1002,97,3,0.1818,BRONZE
1002,10,4,0.2727,SILVER 
1002,18,2,0.0909,BRONZE
1002,56,6,0.4545,SILVER 
1002,64,4,0.2727,SILVER 
1002,7,2,0.0909,BRONZE
