tran_id,product_id,qty,amt,tran_dt
2021-01-01T07-03-24-424880_1,10,123,220.17,2021-01-01
2021-01-01T07-03-24-424880_2,52,8,6.96,2021-01-01
2021-01-01T07-03-24-424880_3,43,5,19.95,2021-01-01
2021-01-01T07-03-24-424880_3,52,3,2.61,2021-01-01
2021-01-01T07-03-24-424880_3,55,3,2.34,2021-01-01
2021-01-01T07-03-24-424880_3,91,6,40.2,2021-01-01
2021-01-01T07-03-24-424880_3,7,9,13.5,2021-01-01
2021-01-01T07-03-24-424880_3,89,6,16.68,2021-01-01
2021-01-01T07-03-24-424880_3,37,6,16.14,2021-01-01
2021-01-01T07-03-24-424880_4,62,600,3900.0,2021-01-01
2021-01-01T07-03-24-424880_4,61,529,682.41,2021-01-01
2021-01-01T07-03-24-424880_5,50,1792,4659.2,2021-01-01
2021-01-01T07-03-24-424880_5,95,1813,5420.87,2021-01-01
2021-01-01T07-03-24-424880_5,76,1735,988.95,2021-01-01
2021-01-01T07-03-24-424880_5,24,1803,5048.4,2021-01-01
2021-01-01T07-03-24-424880_5,22,1716,4787.64,2021-01-01
2021-01-01T07-03-24-424880_7,83,1701,357.21,2021-01-01
2021-01-01T07-03-24-424880_7,46,1774,1224.06,2021-01-01
2021-01-01T07-03-24-424880_7,77,1971,1162.89,2021-01-01
2021-01-01T07-03-24-424880_7,51,1924,4790.76,2021-01-01
2021-01-01T07-03-24-424880_7,65,1630,13023.7,2021-01-01
2021-01-01T07-03-24-424880_7,62,1777,11550.5,2021-01-01
2021-01-01T07-03-24-424880_7,88,1695,6763.05,2021-01-01
2021-01-01T07-03-24-424880_7,85,1610,8033.9,2021-01-01
2021-01-01T07-03-24-424880_8,7,60,90.0,2021-01-01
2021-01-01T07-03-24-424880_8,73,18,71.82,2021-01-01
2021-01-01T07-03-24-424880_8,60,44,87.56,2021-01-01
2021-01-01T07-03-24-424880_8,94,73,145.27,2021-01-01
2021-01-01T07-03-24-424880_8,47,19,47.5,2021-01-01
2021-01-01T07-03-24-424880_8,70,45,157.5,2021-01-01
2021-01-01T07-03-24-424880_8,37,77,207.13,2021-01-01
2021-01-01T07-03-24-424880_9,85,67,334.33,2021-01-01
2021-01-01T07-03-24-424880_9,23,123,466.17,2021-01-01
2021-01-01T07-03-24-424880_9,45,104,102.96,2021-01-01
2021-01-01T07-03-24-424880_9,78,65,247.0,2021-01-01
2021-01-01T07-03-24-424880_9,4,91,272.09,2021-01-01
2021-01-01T07-03-24-424880_9,62,135,877.5,2021-01-01
2021-01-01T07-03-24-424880_9,1,140,210.0,2021-01-01
2021-01-01T07-03-24-424880_10,88,62,247.38,2021-01-01
2021-01-01T07-03-24-424880_10,15,35,104.3,2021-01-01
2021-01-01T07-03-24-424880_10,92,16,39.84,2021-01-01
2021-01-01T07-03-24-424880_10,10,56,100.24,2021-01-01
2021-01-01T07-03-24-424880_10,82,31,247.69,2021-01-01
2021-01-01T07-03-24-424880_11,29,9,23.85,2021-01-01
2021-01-01T07-03-24-424880_11,73,6,23.94,2021-01-01
2021-01-01T07-03-24-424880_11,71,10,65.9,2021-01-01
2021-01-01T07-03-24-424880_11,44,5,7.45,2021-01-01
2021-01-01T07-03-24-424880_11,65,2,15.98,2021-01-01
2021-01-01T07-03-24-424880_13,1,11,16.5,2021-01-01
2021-01-01T07-03-24-424880_14,7,75,112.5,2021-01-01
2021-01-01T07-03-24-424880_14,1,89,133.5,2021-01-01
2021-01-01T07-03-24-424880_14,16,41,128.74,2021-01-01
2021-01-01T07-03-24-424880_14,87,133,1328.67,2021-01-01
2021-01-01T07-03-24-424880_14,39,37,101.75,2021-01-01
2021-01-01T07-03-24-424880_14,100,121,240.79,2021-01-01
2021-01-01T07-03-24-424880_15,7,191,286.5,2021-01-01
2021-01-01T07-03-24-425868_16,82,4,31.96,2021-01-01
2021-01-01T07-03-24-425868_16,94,2,3.98,2021-01-01
2021-01-01T07-03-24-425868_16,30,3,9.3,2021-01-01
2021-01-01T07-03-24-425868_16,34,2,3.98,2021-01-01
2021-01-01T07-03-24-425868_16,98,3,14.97,2021-01-01
2021-01-01T07-03-24-425868_17,83,12,2.52,2021-01-01
