tran_id,store_id,member_id,tran_dt
2021-03-20T11-53-13-660743_1,1,1070,3/20/2021
2021-03-20T11-53-13-660743_2,3,1079,3/20/2021
2021-03-20T11-53-13-660743_3,1,1074,3/20/2021
2021-03-20T11-53-13-661744_3,1,1074,3/20/2021
2021-03-20T11-53-13-661744_4,3,1026,3/20/2021
2021-03-20T11-53-13-661744_5,2,1066,3/20/2021
2021-03-20T11-53-13-661744_6,3,1099,3/20/2021
2021-03-20T11-53-13-661744_7,3,1062,3/20/2021
2021-03-20T11-53-13-661744_8,1,1048,3/20/2021
2021-03-20T11-53-13-661744_9,1,1059,3/20/2021
2021-03-20T11-53-13-661744_10,1,1078,3/20/2021
2021-03-20T11-53-13-662743_10,1,1078,3/20/2021
2021-03-20T11-53-13-662743_11,1,1090,3/20/2021
2021-03-20T11-53-13-662743_12,2,1013,3/20/2021
2021-03-20T11-53-13-662743_13,2,1029,3/20/2021
2021-03-20T11-53-13-662743_14,1,1091,3/20/2021
2021-03-20T11-53-13-662743_16,3,1044,3/20/2021
2021-03-20T11-53-13-662743_17,3,1051,3/20/2021
2021-03-20T11-53-13-662743_19,2,1030,3/20/2021
2021-03-20T11-53-13-662743_20,2,1020,3/20/2021
2021-03-20T11-53-13-663738_20,2,1020,3/20/2021
2021-03-20T11-53-13-663738_21,3,1033,3/20/2021
2021-03-20T11-53-13-663738_22,3,1087,3/20/2021
2021-03-20T11-53-13-663738_23,2,1037,3/20/2021
2021-03-20T11-53-13-663738_25,1,1080,3/20/2021
2021-03-20T11-53-13-663738_26,1,1012,3/20/2021
2021-03-20T11-53-13-664740_27,3,1002,3/20/2021
2021-03-20T11-53-13-664843_27,3,1002,3/20/2021
2021-03-20T11-53-13-664843_28,2,1018,3/20/2021
2021-03-20T11-53-13-664843_29,3,1075,3/20/2021
2021-03-20T11-53-13-665847_31,2,1100,3/20/2021
2021-03-20T11-53-13-665847_32,1,1028,3/20/2021
2021-03-20T11-53-13-665847_33,1,1068,3/20/2021
2021-03-20T11-53-13-666848_33,1,1068,3/20/2021
2021-03-20T11-53-13-666848_34,3,1046,3/20/2021
2021-03-20T11-53-13-666848_35,2,1060,3/20/2021
2021-03-20T11-53-13-666848_36,2,1014,3/20/2021
2021-03-20T11-53-13-667847_36,2,1014,3/20/2021
2021-03-20T11-53-13-667847_37,3,1042,3/20/2021
2021-03-20T11-53-13-667847_39,3,1010,3/20/2021
2021-03-21T11-53-13-667847_1,2,1039,3/21/2021
2021-03-21T11-53-13-668843_1,2,1039,3/21/2021
2021-03-21T11-53-13-668843_2,2,1006,3/21/2021
2021-03-21T11-53-13-668843_3,3,1057,3/21/2021
2021-03-21T11-53-13-668843_4,2,1010,3/21/2021
2021-03-21T11-53-13-668843_5,1,1060,3/21/2021
2021-03-21T11-53-13-668843_6,3,1014,3/21/2021
2021-03-21T11-53-13-669847_6,3,1014,3/21/2021
2021-03-21T11-53-13-669941_6,3,1014,3/21/2021
2021-03-21T11-53-13-669941_7,3,1002,3/21/2021
2021-03-21T11-53-13-669941_8,1,1023,3/21/2021
2021-03-21T11-53-13-670944_8,1,1023,3/21/2021
2021-03-21T11-53-13-670944_10,1,1038,3/21/2021
2021-03-21T11-53-13-670944_11,2,1099,3/21/2021
2021-03-21T11-53-13-671942_11,2,1099,3/21/2021
2021-03-21T11-53-13-671942_12,3,1072,3/21/2021
2021-03-21T11-53-13-671942_13,3,1011,3/21/2021
2021-03-21T11-53-13-671942_14,2,1075,3/21/2021
2021-03-21T11-53-13-672942_14,2,1075,3/21/2021
2021-03-21T11-53-13-672942_15,2,1095,3/21/2021
2021-03-21T11-53-13-672942_16,3,1009,3/21/2021
2021-03-21T11-53-13-673942_16,3,1009,3/21/2021
2021-03-21T11-53-13-673942_18,2,1091,3/21/2021
2021-03-21T11-53-13-673942_19,1,1055,3/21/2021
2021-03-21T11-53-13-673942_20,2,1004,3/21/2021
2021-03-21T11-53-13-673942_21,1,1021,3/21/2021
2021-03-21T11-53-13-674942_21,1,1021,3/21/2021
2021-03-21T11-53-13-675003_21,1,1021,3/21/2021
2021-03-21T11-53-13-675051_21,1,1021,3/21/2021
2021-03-21T11-53-13-675051_22,3,1015,3/21/2021
2021-03-21T11-53-13-675051_23,1,1067,3/21/2021
2021-03-21T11-53-13-675051_24,1,1043,3/21/2021
2021-03-21T11-53-13-675051_25,2,1068,3/21/2021
2021-03-21T11-53-13-675051_26,1,1001,3/21/2021
