tran_id,store_id,member_id,tran_dt
2021-01-01T17-13-32-205734_1,2,1036,2021-01-01
2021-01-01T17-13-32-206738_1,2,1036,2021-01-01
2021-01-01T17-13-32-206738_2,3,1023,2021-01-01
2021-01-01T17-13-32-206738_3,2,1034,2021-01-01
2021-01-01T17-13-32-207734_4,1,1088,2021-01-01
2021-01-01T17-13-32-207734_5,2,1013,2021-01-01
2021-01-01T17-13-32-207734_6,1,1035,2021-01-01
2021-01-01T17-13-32-207734_7,3,1034,2021-01-01
2021-01-01T17-13-32-207734_8,1,1086,2021-01-01
2021-01-01T17-13-32-208730_8,1,1086,2021-01-01
2021-01-01T17-13-32-208730_9,3,1040,2021-01-01
2021-01-01T17-13-32-208730_10,2,1017,2021-01-01
2021-01-01T17-13-32-208730_11,2,1001,2021-01-01
2021-01-01T17-13-32-209731_11,2,1001,2021-01-01
2021-01-01T17-13-32-209852_11,2,1001,2021-01-01
2021-01-01T17-13-32-209852_12,1,1028,2021-01-01
2021-01-01T17-13-32-210854_13,1,1065,2021-01-01
2021-01-01T17-13-32-210854_14,1,1026,2021-01-01
2021-01-01T17-13-32-210854_15,3,1066,2021-01-01
2021-01-01T17-13-32-210854_16,3,1068,2021-01-01
2021-01-01T17-13-32-210854_17,3,1029,2021-01-01
2021-01-01T17-13-32-211852_17,3,1029,2021-01-01
2021-01-01T17-13-32-211852_18,2,1037,2021-01-01
2021-01-01T17-13-32-211852_19,3,1060,2021-01-01
2021-01-01T17-13-32-212854_19,3,1060,2021-01-01
2021-01-01T17-13-32-212854_20,1,1058,2021-01-01
2021-01-01T17-13-32-212854_21,1,1095,2021-01-01
2021-01-01T17-13-32-212854_22,3,1070,2021-01-01
2021-01-01T17-13-32-213854_22,3,1070,2021-01-01
2021-01-01T17-13-32-213854_23,3,1050,2021-01-01
2021-01-01T17-13-32-213854_24,3,1079,2021-01-01
2021-01-01T17-13-32-214853_24,3,1079,2021-01-01
2021-01-01T17-13-32-214853_25,2,1025,2021-01-01
2021-01-01T17-13-32-214853_26,1,1032,2021-01-01
2021-01-01T17-13-32-214853_27,1,1057,2021-01-01
2021-01-01T17-13-32-214853_28,2,1009,2021-01-01
2021-01-01T17-13-32-215864_28,2,1009,2021-01-01
2021-01-01T17-13-32-215864_29,3,1066,2021-01-01
2021-01-01T17-13-32-215864_30,1,1072,2021-01-01
2021-01-01T17-13-32-216854_31,1,1094,2021-01-01
2021-01-01T17-13-32-216854_32,2,1035,2021-01-01
2021-01-01T17-13-32-216854_1,1,1064,2021-01-01
2021-01-01T17-13-32-217853_1,1,1064,2021-01-01
2021-01-01T17-13-32-217853_2,1,1040,2021-01-01
2021-01-01T17-13-32-217853_3,2,1008,2021-01-01
2021-01-01T17-13-32-241850_4,2,1064,2021-01-01
