tran_id,store_id,member_id,tran_dt
2021-01-01T13-58-06-540016_1,3,79,2021-01-01
2021-01-01T13-58-06-540016_2,2,86,2021-01-01
2021-01-01T13-58-06-540016_3,3,29,2021-01-01
2021-01-01T13-58-06-540016_4,2,61,2021-01-01
2021-01-01T13-58-06-541016_4,2,61,2021-01-01
2021-01-01T13-58-06-541016_5,1,73,2021-01-01
2021-01-01T13-58-06-541016_6,2,30,2021-01-01
2021-01-01T13-58-06-542017_6,2,30,2021-01-01
2021-01-01T13-58-06-542017_7,3,27,2021-01-01
2021-01-01T13-58-06-542017_8,1,48,2021-01-01
2021-01-01T13-58-06-543015_9,1,90,2021-01-01
2021-01-01T13-58-06-543015_10,2,80,2021-01-01
2021-01-01T13-58-06-544016_11,2,13,2021-01-01
2021-01-01T13-58-06-544016_12,1,56,2021-01-01
2021-01-01T13-58-06-544016_13,3,53,2021-01-01
2021-01-01T13-58-06-545015_13,3,53,2021-01-01
2021-01-01T13-58-06-545015_14,1,96,2021-01-01
2021-01-01T13-58-06-545015_15,1,84,2021-01-01
2021-01-01T13-58-06-545015_16,1,72,2021-01-01
2021-01-01T13-58-06-545015_17,2,76,2021-01-01
2021-01-01T13-58-06-546014_17,2,76,2021-01-01
2021-01-01T13-58-06-546014_18,3,95,2021-01-01
2021-01-01T13-58-06-546014_22,2,33,2021-01-01
2021-01-01T13-58-06-547013_22,2,33,2021-01-01
2021-01-01T13-58-06-547013_24,1,40,2021-01-01
2021-01-01T13-58-06-547013_26,3,14,2021-01-01
2021-01-01T13-58-06-547013_27,3,88,2021-01-01
2021-01-01T13-58-06-547013_28,3,15,2021-01-01
2021-01-01T13-58-06-547013_29,2,58,2021-01-01
2021-01-01T13-58-06-548014_29,2,58,2021-01-01
2021-01-01T13-58-06-548014_30,3,57,2021-01-01
2021-01-01T13-58-06-548014_31,1,55,2021-01-01
2021-01-02T13-58-06-548014_1,2,30,2021-01-02
2021-01-02T13-58-06-548014_2,2,15,2021-01-02
2021-01-02T13-58-06-548014_3,3,49,2021-01-02
2021-01-02T13-58-06-548014_4,2,11,2021-01-02
2021-01-02T13-58-06-549012_4,2,11,2021-01-02
2021-01-02T13-58-06-549012_5,3,38,2021-01-02
2021-01-02T13-58-06-549012_6,3,54,2021-01-02
2021-01-02T13-58-06-549012_8,1,100,2021-01-02
2021-01-02T13-58-06-549012_9,1,58,2021-01-02
2021-01-02T13-58-06-549012_10,1,71,2021-01-02
2021-01-02T13-58-06-549012_11,2,89,2021-01-02
2021-01-02T13-58-06-549012_12,1,47,2021-01-02
2021-01-02T13-58-06-549012_14,1,61,2021-01-02
2021-01-02T13-58-06-550013_15,2,86,2021-01-02
2021-01-02T13-58-06-550013_16,1,31,2021-01-02
2021-01-02T13-58-06-550013_17,1,46,2021-01-02
2021-01-02T13-58-06-550013_18,2,25,2021-01-02
2021-01-02T13-58-06-550013_19,1,85,2021-01-02
2021-01-02T13-58-06-551012_19,1,85,2021-01-02
2021-01-02T13-58-06-551012_20,3,90,2021-01-02
2021-01-02T13-58-06-551012_21,2,1,2021-01-02
2021-01-03T13-58-06-551012_1,3,63,2021-01-03
2021-01-03T13-58-06-551012_2,1,62,2021-01-03
2021-01-03T13-58-06-552011_3,2,35,2021-01-03
2021-01-03T13-58-06-552011_4,3,71,2021-01-03
2021-01-03T13-58-06-552011_5,2,75,2021-01-03
2021-01-03T13-58-06-552011_6,3,76,2021-01-03
2021-01-03T13-58-06-552011_7,2,8,2021-01-03
2021-01-03T13-58-06-552011_8,1,74,2021-01-03
2021-01-03T13-58-06-553010_9,2,96,2021-01-03
2021-01-03T13-58-06-553010_10,3,9,2021-01-03
2021-01-03T13-58-06-553010_11,2,21,2021-01-03
