corporate_item_integration_id,internet_item_dsc,f0_
1,CARROTS 2 LB BAG,14
2,DL SLIM TEARDROP VASE SM,14
3,DL TWISTED WEAVE TAPER BASKET S3,14
4,ONIONS YELLOW,14
5,KRAFT VELVEETA CHEESE LOAF,14
6,CABBAGE GREEN,14
7,GENERAL MILLS CARMELLA CREEPER BREAKFAST CEREAL 9.3 OUNCE,15
8,DEBI LILLY COLUMN VASE TALL,14
9,SIGNATURE SELECT HOT COCOA MIX CHOCOLATE 10-1 OUNCE PACKETS,14
10,DRISCOLLS STRAWBERRIES 2 LB,14
11,DRISCOLLS STRAWBERRIES 16 OZ ORGANIC,14
12,SIGNATURE SELECT/FARMS POTATOES RUSSET 5LB BAG,14
13,SIGNATURE SELECT/CARE KIDDIE UPS JUMBO 4-5T GIRL 19 COUNT,14
14,SIGNATURE SELECT GRAVY TURKEY'S 12 OUNCE,14
15,DEBI LILLY G%LASS BOTTLE VASE LG,14
16,HUGGIES LITTLE MOVERS DIAPERS GIGA JR PK SZ 5,14
17,SIGNATURE SELECT OIL VEGETABLE 48 FLUID OUNCE,14
18,DEBI LILLY VELVET PUMPKIN MD,14
19,DL ROUNDED FIBERSTONE POTS S3,14
20,DL TEXTURED VOLCANO VASE LG,14
