tran_id,product_id,qty,amt,tran_dt
2021-01-01T13-58-06-540016_1,1,1153,1729.5,2021-01-01
2021-01-01T13-58-06-540016_1,30,1389,4305.9,2021-01-01
2021-01-01T13-58-06-540016_1,60,1354,2694.46,2021-01-01
2021-01-01T13-58-06-540016_1,2,1417,1771.25,2021-01-01
2021-01-01T13-58-06-540016_1,42,1284,500.76,2021-01-01
2021-01-01T13-58-06-540016_1,17,1323,5953.5,2021-01-01
2021-01-01T13-58-06-540016_2,57,1379,2744.21,2021-01-01
2021-01-01T13-58-06-540016_3,81,1255,4505.45,2021-01-01
2021-01-01T13-58-06-540016_3,12,1475,2655.0,2021-01-01
2021-01-01T13-58-06-540016_3,32,1119,3457.71,2021-01-01
2021-01-01T13-58-06-540016_3,99,1306,6516.94,2021-01-01
2021-01-01T13-58-06-540016_3,1,1475,2212.5,2021-01-01
2021-01-01T13-58-06-540016_3,85,1119,5583.81,2021-01-01
2021-01-01T13-58-06-540016_3,77,1371,808.89,2021-01-01
2021-01-01T13-58-06-540016_3,53,1140,1128.6,2021-01-01
2021-01-01T13-58-06-540016_4,68,1397,3618.23,2021-01-01
2021-01-01T13-58-06-540016_4,26,1000,2980.0,2021-01-01
2021-01-01T13-58-06-540016_4,39,1171,3220.25,2021-01-01
2021-01-01T13-58-06-541016_4,74,1126,1069.7,2021-01-01
2021-01-01T13-58-06-541016_4,27,1039,2233.85,2021-01-01
2021-01-01T13-58-06-541016_4,16,1381,4336.34,2021-01-01
2021-01-01T13-58-06-541016_5,4,1460,4365.4,2021-01-01
2021-01-01T13-58-06-541016_5,17,1423,6403.5,2021-01-01
2021-01-01T13-58-06-541016_5,35,1463,3057.67,2021-01-01
2021-01-01T13-58-06-541016_5,20,1270,1765.3,2021-01-01
2021-01-01T13-58-06-541016_6,92,1217,3030.33,2021-01-01
2021-01-01T13-58-06-541016_6,36,1272,3040.08,2021-01-01
2021-01-01T13-58-06-541016_6,14,1190,1178.1,2021-01-01
