trans_id,member_id,store_id,trans_date
01-01-2021_15:02:27_1031_3,1031,3,2021-01-01
01-01-2021_20:09:42_1452_1,1452,1,2021-01-01
01-01-2021_03:35:01_1234_1,1234,1,2021-01-01
01-01-2021_12:49:33_1142_2,1142,2,2021-01-01
01-01-2021_03:11:27_1013_1,1013,1,2021-01-01
01-01-2021_08:15:03_1886_3,1886,3,2021-01-01
01-01-2021_06:40:57_1884_1,1884,1,2021-01-01
01-01-2021_22:15:28_1650_3,1650,3,2021-01-01
01-01-2021_10:02:54_1272_1,1272,1,2021-01-01
01-01-2021_12:45:06_1886_1,1886,1,2021-01-01
01-01-2021_20:30:02_1234_1,1234,1,2021-01-01
01-01-2021_07:40:55_1402_3,1402,3,2021-01-01
01-01-2021_13:05:23_1886_1,1886,1,2021-01-01
01-01-2021_19:32:08_1636_2,1636,2,2021-01-01
01-01-2021_08:18:58_1675_3,1675,3,2021-01-01
01-01-2021_06:38:07_1372_2,1372,2,2021-01-01
01-01-2021_06:37:47_1087_1,1087,1,2021-01-01
01-01-2021_18:40:48_1194_1,1194,1,2021-01-01
01-01-2021_15:06:15_1031_2,1031,2,2021-01-01
01-01-2021_05:35:35_1251_1,1251,1,2021-01-01
01-01-2021_08:48:42_1684_3,1684,3,2021-01-01
01-01-2021_03:20:05_1385_2,1385,2,2021-01-01
01-01-2021_08:33:58_1013_2,1013,2,2021-01-01
01-01-2021_16:15:56_1721_3,1721,3,2021-01-01
01-01-2021_14:53:04_1923_3,1923,3,2021-01-01
01-01-2021_07:44:22_1570_1,1570,1,2021-01-01
01-01-2021_22:32:02_1620_3,1620,3,2021-01-01
01-01-2021_07:18:13_1310_1,1310,1,2021-01-01
01-01-2021_14:14:38_1855_1,1855,1,2021-01-01
01-01-2021_21:26:52_1282_2,1282,2,2021-01-01
01-01-2021_05:52:28_1277_3,1277,3,2021-01-01
01-01-2021_22:48:54_1250_3,1250,3,2021-01-01
01-01-2021_02:04:21_1101_1,1101,1,2021-01-01
01-01-2021_10:55:06_1509_1,1509,1,2021-01-01
01-01-2021_01:51:56_1030_1,1030,1,2021-01-01
01-01-2021_12:15:11_1232_3,1232,3,2021-01-01
02-01-2021_06:47:04_1013_1,1013,1,2021-01-02
02-01-2021_02:20:01_1900_3,1900,3,2021-01-02
02-01-2021_23:17:46_1207_3,1207,3,2021-01-02
02-01-2021_16:17:37_1898_3,1898,3,2021-01-02
02-01-2021_02:36:11_1101_1,1101,1,2021-01-02
02-01-2021_21:03:40_1589_1,1589,1,2021-01-02
02-01-2021_19:50:45_member_id_3,member_id,3,2021-01-02
02-01-2021_04:52:04_1620_3,1620,3,2021-01-02
02-01-2021_06:47:29_1292_1,1292,1,2021-01-02
02-01-2021_04:28:05_1513_2,1513,2,2021-01-02
02-01-2021_19:58:18_1087_2,1087,2,2021-01-02
02-01-2021_11:50:24_1540_3,1540,3,2021-01-02
02-01-2021_07:20:43_1413_1,1413,1,2021-01-02
02-01-2021_13:31:10_1289_3,1289,3,2021-01-02
02-01-2021_18:38:17_1307_3,1307,3,2021-01-02
02-01-2021_15:46:46_1460_1,1460,1,2021-01-02
02-01-2021_20:52:47_1222_3,1222,3,2021-01-02
02-01-2021_13:31:03_1331_3,1331,3,2021-01-02
02-01-2021_06:13:23_1454_3,1454,3,2021-01-02
02-01-2021_02:54:12_1010_2,1010,2,2021-01-02
02-01-2021_02:39:26_1660_3,1660,3,2021-01-02
03-01-2021_02:28:49_1513_1,1513,1,2021-01-03
03-01-2021_18:06:16_1595_3,1595,3,2021-01-03
03-01-2021_11:08:21_1701_2,1701,2,2021-01-03
03-01-2021_09:02:17_member_id_1,member_id,1,2021-01-03
03-01-2021_06:30:26_1200_1,1200,1,2021-01-03
03-01-2021_01:19:08_1372_1,1372,1,2021-01-03
03-01-2021_23:14:46_1761_1,1761,1,2021-01-03
03-01-2021_15:17:30_1522_3,1522,3,2021-01-03
03-01-2021_04:55:54_1194_1,1194,1,2021-01-03
03-01-2021_05:38:08_1632_2,1632,2,2021-01-03
03-01-2021_01:19:38_1721_3,1721,3,2021-01-03
03-01-2021_04:10:46_1010_3,1010,3,2021-01-03
03-01-2021_18:02:46_1701_2,1701,2,2021-01-03
03-01-2021_19:04:35_1100_2,1100,2,2021-01-03
03-01-2021_07:44:50_1855_3,1855,3,2021-01-03
